Step,relabel+random_1_0_0.0001 - average_loss,relabel+random_1_0_0.0001 - average_loss__MIN,relabel+random_1_0_0.0001 - average_loss__MAX
253,1.49821353113784,1.49821353113784,1.49821353113784
518,1.46542696776213,1.46542696776213,1.46542696776213
770,1.35117292547138,1.35117292547138,1.35117292547138
1033,1.56203324976464,1.56203324976464,1.56203324976464
1298,1.5570721364819,1.5570721364819,1.5570721364819
1553,1.46190841624353,1.46190841624353,1.46190841624353
1820,1.41142236480006,1.41142236480006,1.41142236480006
2077,1.47073389056014,1.47073389056014,1.47073389056014
2347,1.54897782195538,1.54897782195538,1.54897782195538
2605,1.54041838258173,1.54041838258173,1.54041838258173
2874,1.43944535189205,1.43944535189205,1.43944535189205
3141,1.40719328650249,1.40719328650249,1.40719328650249
3402,1.58144898971068,1.58144898971068,1.58144898971068
3653,1.29264441199517,1.29264441199517,1.29264441199517
3924,1.50115385541209,1.50115385541209,1.50115385541209
4190,1.41286310553551,1.41286310553551,1.41286310553551
4448,1.3083606083084,1.3083606083084,1.3083606083084
4716,1.33935889171229,1.33935889171229,1.33935889171229
4972,1.24238427602843,1.24238427602843,1.24238427602843
5227,1.32163878965112,1.32163878965112,1.32163878965112
5478,1.46042864212283,1.46042864212283,1.46042864212283
5742,1.32607129568104,1.32607129568104,1.32607129568104
6012,1.36414916073834,1.36414916073834,1.36414916073834
6274,1.50139398238173,1.50139398238173,1.50139398238173
6530,1.30541869269477,1.30541869269477,1.30541869269477
6797,1.38261529271487,1.38261529271487,1.38261529271487
7056,1.41208029397137,1.41208029397137,1.41208029397137
7324,1.29204296397657,1.29204296397657,1.29204296397657
7578,1.37549457136128,1.37549457136128,1.37549457136128
7833,1.47412697344908,1.47412697344908,1.47412697344908
8093,1.24066205317203,1.24066205317203,1.24066205317203
8358,1.35541564754015,1.35541564754015,1.35541564754015
8621,1.34558855606499,1.34558855606499,1.34558855606499
8884,1.34640107000316,1.34640107000316,1.34640107000316
9148,1.4037148289355,1.4037148289355,1.4037148289355
9417,1.37879805305347,1.37879805305347,1.37879805305347
9682,1.19535917483573,1.19535917483573,1.19535917483573
9943,1.25891194654787,1.25891194654787,1.25891194654787
10193,1.20769899579451,1.20769899579451,1.20769899579451
10464,1.45202391349961,1.45202391349961,1.45202391349961
10733,1.31325370368006,1.31325370368006,1.31325370368006
10995,1.3244063389798,1.3244063389798,1.3244063389798
11260,1.40913592523171,1.40913592523171,1.40913592523171
11518,1.53329273388067,1.53329273388067,1.53329273388067
11777,1.2841456229451,1.2841456229451,1.2841456229451
12049,1.28842135502232,1.28842135502232,1.28842135502232
12318,1.35987916448569,1.35987916448569,1.35987916448569
12590,1.39245896954779,1.39245896954779,1.39245896954779
12847,1.49962893492646,1.49962893492646,1.49962893492646
13112,1.26878455212525,1.26878455212525,1.26878455212525
13378,1.41504622330525,1.41504622330525,1.41504622330525
13638,1.26425389677621,1.26425389677621,1.26425389677621
13907,1.41523131700475,1.41523131700475,1.41523131700475
14168,1.43369508101432,1.43369508101432,1.43369508101432
14424,1.30344638782363,1.30344638782363,1.30344638782363
14685,1.29634153577032,1.29634153577032,1.29634153577032
14945,1.40347480894895,1.40347480894895,1.40347480894895
15202,1.36210876129292,1.36210876129292,1.36210876129292
15468,1.53450067379818,1.53450067379818,1.53450067379818
15725,1.31532137642862,1.31532137642862,1.31532137642862
15995,1.33491635199774,1.33491635199774,1.33491635199774
16253,1.25189542049563,1.25189542049563,1.25189542049563
16515,1.23315522979807,1.23315522979807,1.23315522979807
16775,1.43232594122526,1.43232594122526,1.43232594122526
17043,1.39429546398697,1.39429546398697,1.39429546398697
17310,1.33887652598143,1.33887652598143,1.33887652598143
17573,1.44741999100354,1.44741999100354,1.44741999100354
17843,1.32920350642116,1.32920350642116,1.32920350642116
18103,1.299932204794,1.299932204794,1.299932204794
18367,1.34179896025194,1.34179896025194,1.34179896025194
18625,1.33716106237532,1.33716106237532,1.33716106237532
18883,1.4878762041805,1.4878762041805,1.4878762041805
19144,1.18238486858335,1.18238486858335,1.18238486858335
19396,1.25788410024572,1.25788410024572,1.25788410024572
19660,1.26433588066764,1.26433588066764,1.26433588066764
19925,1.4384806121665,1.4384806121665,1.4384806121665
20192,1.39713779556465,1.39713779556465,1.39713779556465
20451,1.21367401381795,1.21367401381795,1.21367401381795
20713,1.29677447036461,1.29677447036461,1.29677447036461
20976,1.32409652317012,1.32409652317012,1.32409652317012
21244,1.28703935361301,1.28703935361301,1.28703935361301
21509,1.36848709219032,1.36848709219032,1.36848709219032
21765,1.31526450902112,1.31526450902112,1.31526450902112
22034,1.35758481291295,1.35758481291295,1.35758481291295
22295,1.06010139398139,1.06010139398139,1.06010139398139
22559,1.24670639456116,1.24670639456116,1.24670639456116
22830,1.20385155095495,1.20385155095495,1.20385155095495
23098,1.27751765694346,1.27751765694346,1.27751765694346
23346,1.28539307640927,1.28539307640927,1.28539307640927
23608,1.42763920744559,1.42763920744559,1.42763920744559
23874,1.44241389343654,1.44241389343654,1.44241389343654
24145,1.37943570068402,1.37943570068402,1.37943570068402
24406,1.26182418643768,1.26182418643768,1.26182418643768
24676,1.31971304047152,1.31971304047152,1.31971304047152
24931,1.24775167306264,1.24775167306264,1.24775167306264
25185,1.25887013650517,1.25887013650517,1.25887013650517
25455,1.3823180862599,1.3823180862599,1.3823180862599
25719,1.2653353376521,1.2653353376521,1.2653353376521
25982,1.18180882525113,1.18180882525113,1.18180882525113
26239,1.31883864606972,1.31883864606972,1.31883864606972
26504,1.33614140868521,1.33614140868521,1.33614140868521
26759,1.23234427861565,1.23234427861565,1.23234427861565
27023,1.4005701969753,1.4005701969753,1.4005701969753
27281,1.20610360574102,1.20610360574102,1.20610360574102
27545,1.16812167576066,1.16812167576066,1.16812167576066
27813,1.34253880697544,1.34253880697544,1.34253880697544
28085,1.2646204538948,1.2646204538948,1.2646204538948
28355,1.40295877650408,1.40295877650408,1.40295877650408
