"Step","fine tune shuffle_0_1e-05 - average_loss","fine tune shuffle_0_1e-05 - average_loss__MIN","fine tune shuffle_0_1e-05 - average_loss__MAX"
"257","0.3534349247107624","0.3534349247107624","0.3534349247107624"
"516","0.35580915827233034","0.35580915827233034","0.35580915827233034"
"777","0.3418386578130511","0.3418386578130511","0.3418386578130511"
"1036","0.34826615154147583","0.34826615154147583","0.34826615154147583"
"1300","0.3497401435417743","0.3497401435417743","0.3497401435417743"
"1563","0.3435248307620158","0.3435248307620158","0.3435248307620158"
"1825","0.3453786837075702","0.3453786837075702","0.3453786837075702"
"2089","0.3427108525036933","0.3427108525036933","0.3427108525036933"
"2350","0.33410677779111797","0.33410677779111797","0.33410677779111797"
"2610","0.33150217949570915","0.33150217949570915","0.33150217949570915"
"2877","0.345316826678073","0.345316826678073","0.345316826678073"
"3137","0.34589304459805137","0.34589304459805137","0.34589304459805137"
"3398","0.33502614877954523","0.33502614877954523","0.33502614877954523"
"3662","0.34743607989950603","0.34743607989950603","0.34743607989950603"
"3926","0.3410271363527775","0.3410271363527775","0.3410271363527775"
"4189","0.3380024859424901","0.3380024859424901","0.3380024859424901"
"4449","0.33257812174092194","0.33257812174092194","0.33257812174092194"
"4713","0.33555450402138487","0.33555450402138487","0.33555450402138487"
"4980","0.34293251207913716","0.34293251207913716","0.34293251207913716"
"5241","0.3372626947240152","0.3372626947240152","0.3372626947240152"
"5503","0.33148192635968426","0.33148192635968426","0.33148192635968426"
"5762","0.3316882268700283","0.3316882268700283","0.3316882268700283"
"6025","0.3337441651019617","0.3337441651019617","0.3337441651019617"
"6283","0.32826659116269274","0.32826659116269274","0.32826659116269274"
"6541","0.33248883871683893","0.33248883871683893","0.33248883871683893"
"6804","0.3310030956131827","0.3310030956131827","0.3310030956131827"
"7065","0.33564551080946164","0.33564551080946164","0.33564551080946164"
"7328","0.31983641781419675","0.31983641781419675","0.31983641781419675"
"7589","0.342490751037902","0.342490751037902","0.342490751037902"
"7844","0.3252031945923329","0.3252031945923329","0.3252031945923329"
"8108","0.32623627430150937","0.32623627430150937","0.32623627430150937"
"8364","0.3250487127832737","0.3250487127832737","0.3250487127832737"
"8624","0.3353128416065234","0.3353128416065234","0.3353128416065234"
"8888","0.34129014042741973","0.34129014042741973","0.34129014042741973"
"9148","0.3341338966663426","0.3341338966663426","0.3341338966663426"
"9409","0.33327973523193427","0.33327973523193427","0.33327973523193427"
"9667","0.3182092230238623","0.3182092230238623","0.3182092230238623"
"9926","0.3245102182261287","0.3245102182261287","0.3245102182261287"
