"Step","1.shuffle_0_0.0001 - average_loss","1.shuffle_0_0.0001 - average_loss__MIN","1.shuffle_0_0.0001 - average_loss__MAX"
"257","1.009401484480444","1.009401484480444","1.009401484480444"
"521","0.9692581289193847","0.9692581289193847","0.9692581289193847"
"781","0.908701846083462","0.908701846083462","0.908701846083462"
"1042","0.8211679717130733","0.8211679717130733","0.8211679717130733"
"1303","0.7902941711963369","0.7902941711963369","0.7902941711963369"
"1563","0.7444353894794424","0.7444353894794424","0.7444353894794424"
"1824","0.6842782170248201","0.6842782170248201","0.6842782170248201"
"2084","0.6856878849821022","0.6856878849821022","0.6856878849821022"
"2342","0.6369476762877123","0.6369476762877123","0.6369476762877123"
"2600","0.6229917506993045","0.6229917506993045","0.6229917506993045"
"2863","0.6089908135424655","0.6089908135424655","0.6089908135424655"
"3127","0.6045841104860575","0.6045841104860575","0.6045841104860575"
"3388","0.5938395033733777","0.5938395033733777","0.5938395033733777"
"3650","0.6042591377795309","0.6042591377795309","0.6042591377795309"
"3911","0.576813921367906","0.576813921367906","0.576813921367906"
"4172","0.5830412912360243","0.5830412912360243","0.5830412912360243"
"4436","0.565181072942461","0.565181072942461","0.565181072942461"
"4701","0.5528743894735597","0.5528743894735597","0.5528743894735597"
"4961","0.5348960444260881","0.5348960444260881","0.5348960444260881"
"5221","0.5472777309354789","0.5472777309354789","0.5472777309354789"
"5481","0.562671134809327","0.562671134809327","0.562671134809327"
"5738","0.5470936779264909","0.5470936779264909","0.5470936779264909"
"5998","0.5182826172165347","0.5182826172165347","0.5182826172165347"
"6262","0.512882967222974","0.512882967222974","0.512882967222974"
"6527","0.5169705652719679","0.5169705652719679","0.5169705652719679"
"6789","0.5017686603102167","0.5017686603102167","0.5017686603102167"
"7049","0.4725503697600358","0.4725503697600358","0.4725503697600358"
"7311","0.4825389986192036","0.4825389986192036","0.4825389986192036"
"7575","0.4812053203371898","0.4812053203371898","0.4812053203371898"
"7839","0.47907689576089946","0.47907689576089946","0.47907689576089946"
"8099","0.4839903981571168","0.4839903981571168","0.4839903981571168"
"8358","0.4767036493298889","0.4767036493298889","0.4767036493298889"
"8614","0.45635557757927875","0.45635557757927875","0.45635557757927875"
"8877","0.46596753415260606","0.46596753415260606","0.46596753415260606"
"9140","0.4509075256524884","0.4509075256524884","0.4509075256524884"
"9401","0.4531164984519774","0.4531164984519774","0.4531164984519774"
"9667","0.45410874843093235","0.45410874843093235","0.45410874843093235"
"9926","0.4493138983424825","0.4493138983424825","0.4493138983424825"
"10183","0.44159943433442794","0.44159943433442794","0.44159943433442794"
"10445","0.43904046696600124","0.43904046696600124","0.43904046696600124"
"10705","0.4343911529843378","0.4343911529843378","0.4343911529843378"
"10968","0.4320388586207662","0.4320388586207662","0.4320388586207662"
"11232","0.43338183409551967","0.43338183409551967","0.43338183409551967"
"11485","0.4321466410251031","0.4321466410251031","0.4321466410251031"
"11748","0.43118078248865704","0.43118078248865704","0.43118078248865704"
"12007","0.4254357401123378","0.4254357401123378","0.4254357401123378"
