"Step","relabel+random_1_0_0.0001 - average_loss","relabel+random_1_0_0.0001 - average_loss__MIN","relabel+random_1_0_0.0001 - average_loss__MAX"
"263","0.9654404194785","0.9654404194785","0.9654404194785"
"525","1.2267636416735244","1.2267636416735244","1.2267636416735244"
"789","1.167875933622412","1.167875933622412","1.167875933622412"
"1051","1.2433430923072821","1.2433430923072821","1.2433430923072821"
"1323","1.1714562218463584","1.1714562218463584","1.1714562218463584"
"1591","1.058891242986275","1.058891242986275","1.058891242986275"
"1854","1.121355622761629","1.121355622761629","1.121355622761629"
"2120","1.0418929792310079","1.0418929792310079","1.0418929792310079"
"2387","1.198256798226015","1.198256798226015","1.198256798226015"
"2650","1.1934177318857968","1.1934177318857968","1.1934177318857968"
"2916","1.1221256288182404","1.1221256288182404","1.1221256288182404"
"3175","1.0687035058257324","1.0687035058257324","1.0687035058257324"
"3445","1.131700608765688","1.131700608765688","1.131700608765688"
"3695","1.0992256205141502","1.0992256205141502","1.0992256205141502"
"3957","1.0299910416611953","1.0299910416611953","1.0299910416611953"
"4218","1.0486242051477785","1.0486242051477785","1.0486242051477785"
"4477","1.0360155100897828","1.0360155100897828","1.0360155100897828"
"4734","1.135837208148506","1.135837208148506","1.135837208148506"
"4999","1.1122133228446724","1.1122133228446724","1.1122133228446724"
"5262","1.0819374645197832","1.0819374645197832","1.0819374645197832"
"5526","1.208013528668218","1.208013528668218","1.208013528668218"
"5787","1.0671458575912651","1.0671458575912651","1.0671458575912651"
"6053","1.1724448900974485","1.1724448900974485","1.1724448900974485"
"6316","1.1437100643542275","1.1437100643542275","1.1437100643542275"
"6568","1.0035902840938997","1.0035902840938997","1.0035902840938997"
"6833","1.0552196702696521","1.0552196702696521","1.0552196702696521"
"7094","1.0978989995447797","1.0978989995447797","1.0978989995447797"
"7360","1.0637667847460486","1.0637667847460486","1.0637667847460486"
"7619","1.0495736990880042","1.0495736990880042","1.0495736990880042"
"7891","1.2173928746940732","1.2173928746940732","1.2173928746940732"
"8140","1.0448480894260888","1.0448480894260888","1.0448480894260888"
"8402","1.0727444250476839","1.0727444250476839","1.0727444250476839"
"8666","1.1397442268280698","1.1397442268280698","1.1397442268280698"
"8930","1.062148514554262","1.062148514554262","1.062148514554262"
"9191","1.2054593754944807","1.2054593754944807","1.2054593754944807"
"9448","1.0428359052305347","1.0428359052305347","1.0428359052305347"
"9718","1.0833277463530457","1.0833277463530457","1.0833277463530457"
"9987","1.092957815331775","1.092957815331775","1.092957815331775"
"10239","1.1242663244406381","1.1242663244406381","1.1242663244406381"
"10495","1.0725478478061699","1.0725478478061699","1.0725478478061699"
"10764","1.1585642131597356","1.1585642131597356","1.1585642131597356"
"11033","1.205713064342638","1.205713064342638","1.205713064342638"
"11297","1.170362638416133","1.170362638416133","1.170362638416133"
"11570","1.1550029682854277","1.1550029682854277","1.1550029682854277"
"11841","1.2605944007456413","1.2605944007456413","1.2605944007456413"
"12096","1.1240103159775503","1.1240103159775503","1.1240103159775503"
"12363","1.0689370544641188","1.0689370544641188","1.0689370544641188"
"12637","1.1405280569625609","1.1405280569625609","1.1405280569625609"
"12907","1.066815328530693","1.066815328530693","1.066815328530693"
"13169","1.1043463711585126","1.1043463711585126","1.1043463711585126"
"13421","0.9833102786430606","0.9833102786430606","0.9833102786430606"
"13689","1.1791481202328988","1.1791481202328988","1.1791481202328988"
"13953","1.2439762844693705","1.2439762844693705","1.2439762844693705"
"14217","1.0132161926698717","1.0132161926698717","1.0132161926698717"
"14490","1.260752013929493","1.260752013929493","1.260752013929493"
"14748","1.0834729021484102","1.0834729021484102","1.0834729021484102"
"15023","1.1465274313648486","1.1465274313648486","1.1465274313648486"
"15273","1.094099922355876","1.094099922355876","1.094099922355876"
"15524","1.151362222239927","1.151362222239927","1.151362222239927"
"15791","1.0175440891349206","1.0175440891349206","1.0175440891349206"
"16053","1.07061774215996","1.07061774215996","1.07061774215996"
"16323","1.1663921373628503","1.1663921373628503","1.1663921373628503"
"16575","1.206769187190176","1.206769187190176","1.206769187190176"
"16831","1.0763983554177954","1.0763983554177954","1.0763983554177954"
"17099","1.220167673464433","1.220167673464433","1.220167673464433"
"17370","1.1895702836692044","1.1895702836692044","1.1895702836692044"
