"Step","fine tune random_0_1e-05 - average_loss","fine tune random_0_1e-05 - average_loss__MIN","fine tune random_0_1e-05 - average_loss__MAX"
"259","0.4190619719337326","0.4190619719337326","0.4190619719337326"
"525","0.41873063014398487","0.41873063014398487","0.41873063014398487"
"786","0.4093751623560834","0.4093751623560834","0.4093751623560834"
"1044","0.4011369637863816","0.4011369637863816","0.4011369637863816"
"1302","0.41710190826106347","0.41710190826106347","0.41710190826106347"
"1564","0.397625864538096","0.397625864538096","0.397625864538096"
"1827","0.4149773938360771","0.4149773938360771","0.4149773938360771"
"2089","0.42361327668384713","0.42361327668384713","0.42361327668384713"
"2351","0.42215162032383374","0.42215162032383374","0.42215162032383374"
"2617","0.4275335122118563","0.4275335122118563","0.4275335122118563"
"2882","0.4109117094166176","0.4109117094166176","0.4109117094166176"
"3146","0.4060929199128595","0.4060929199128595","0.4060929199128595"
"3412","0.408599214138169","0.408599214138169","0.408599214138169"
"3679","0.40419287352006505","0.40419287352006505","0.40419287352006505"
"3941","0.41214462897726084","0.41214462897726084","0.41214462897726084"
"4203","0.42092994400790257","0.42092994400790257","0.42092994400790257"
"4461","0.40519639682517244","0.40519639682517244","0.40519639682517244"
"4725","0.41923998643661725","0.41923998643661725","0.41923998643661725"
"4987","0.41097383431695445","0.41097383431695445","0.41097383431695445"
"5245","0.39522345159919214","0.39522345159919214","0.39522345159919214"
"5503","0.40823829090974567","0.40823829090974567","0.40823829090974567"
"5765","0.4256989084962256","0.4256989084962256","0.4256989084962256"
"6025","0.3906394781523477","0.3906394781523477","0.3906394781523477"
"6290","0.3944547876481079","0.3944547876481079","0.3944547876481079"
"6552","0.3966911914850733","0.3966911914850733","0.3966911914850733"
"6813","0.38935294439659823","0.38935294439659823","0.38935294439659823"
"7076","0.39990808913279396","0.39990808913279396","0.39990808913279396"
"7338","0.4046791434498639","0.4046791434498639","0.4046791434498639"
"7596","0.39245368139260955","0.39245368139260955","0.39245368139260955"
"7859","0.3870372982467261","0.3870372982467261","0.3870372982467261"
"8123","0.39541770519596653","0.39541770519596653","0.39541770519596653"
"8383","0.3945110973311972","0.3945110973311972","0.3945110973311972"
"8645","0.39775369202415634","0.39775369202415634","0.39775369202415634"
"8903","0.39285394897630727","0.39285394897630727","0.39285394897630727"
"9166","0.4314190769362699","0.4314190769362699","0.4314190769362699"
"9426","0.39751314877172594","0.39751314877172594","0.39751314877172594"
"9687","0.4128647808849069","0.4128647808849069","0.4128647808849069"
"9950","0.3964254811928906","0.3964254811928906","0.3964254811928906"
"10213","0.40398286955958973","0.40398286955958973","0.40398286955958973"
"10479","0.39488250572689587","0.39488250572689587","0.39488250572689587"
"10748","0.39119339230111083","0.39119339230111083","0.39119339230111083"
"11011","0.38752388974957397","0.38752388974957397","0.38752388974957397"
"11275","0.3967942708712247","0.3967942708712247","0.3967942708712247"
"11538","0.3982689668432648","0.3982689668432648","0.3982689668432648"
"11798","0.3926681590216316","0.3926681590216316","0.3926681590216316"
"12064","0.4287458007234046","0.4287458007234046","0.4287458007234046"
"12326","0.4069344503205191","0.4069344503205191","0.4069344503205191"
"12586","0.3891571186615553","0.3891571186615553","0.3891571186615553"
"12847","0.39526255187937337","0.39526255187937337","0.39526255187937337"
"13106","0.3788757941662046","0.3788757941662046","0.3788757941662046"
"13366","0.4156235797461984","0.4156235797461984","0.4156235797461984"
"13626","0.3920160523560347","0.3920160523560347","0.3920160523560347"
"13888","0.3880440126789229","0.3880440126789229","0.3880440126789229"
"14149","0.3817091192003026","0.3817091192003026","0.3817091192003026"
"14415","0.3856776153326955","0.3856776153326955","0.3856776153326955"
"14675","0.37967194295263407","0.37967194295263407","0.37967194295263407"
"14931","0.38170169880225446","0.38170169880225446","0.38170169880225446"
"15189","0.38186793349317155","0.38186793349317155","0.38186793349317155"
"15456","0.41042607472374826","0.41042607472374826","0.41042607472374826"
"15716","0.3897174534014778","0.3897174534014778","0.3897174534014778"
"15979","0.3888538043547289","0.3888538043547289","0.3888538043547289"
"16239","0.395619774439689","0.395619774439689","0.395619774439689"
"16500","0.4019332036119619","0.4019332036119619","0.4019332036119619"
