"Step","1.relabel_0_0.0001 - average_loss","1.relabel_0_0.0001 - average_loss__MIN","1.relabel_0_0.0001 - average_loss__MAX"
"243","1.4258177548084618","1.4258177548084618","1.4258177548084618"
"507","1.575019991485835","1.575019991485835","1.575019991485835"
"777","1.4329871628019544","1.4329871628019544","1.4329871628019544"
"1026","1.5279262197106631","1.5279262197106631","1.5279262197106631"
"1294","1.4918130035720654","1.4918130035720654","1.4918130035720654"
"1560","1.4335407574971517","1.4335407574971517","1.4335407574971517"
"1827","1.5423708337324638","1.5423708337324638","1.5423708337324638"
"2090","1.415353446536594","1.415353446536594","1.415353446536594"
"2350","1.358023593712736","1.358023593712736","1.358023593712736"
"2609","1.2442450133462748","1.2442450133462748","1.2442450133462748"
"2877","1.136876153614786","1.136876153614786","1.136876153614786"
"3143","1.3680494476982208","1.3680494476982208","1.3680494476982208"
"3415","1.311259575688572","1.311259575688572","1.311259575688572"
"3665","1.410022734316872","1.410022734316872","1.410022734316872"
"3931","1.2491375986072752","1.2491375986072752","1.2491375986072752"
"4197","1.3301429856032463","1.3301429856032463","1.3301429856032463"
"4461","1.2625978770493358","1.2625978770493358","1.2625978770493358"
"4721","1.256124776626535","1.256124776626535","1.256124776626535"
"4975","1.1267046172516766","1.1267046172516766","1.1267046172516766"
"5237","1.3353087766854852","1.3353087766854852","1.3353087766854852"
"5502","1.1753845017856996","1.1753845017856996","1.1753845017856996"
"5766","1.1165071733268424","1.1165071733268424","1.1165071733268424"
"6033","1.1559430937045614","1.1559430937045614","1.1559430937045614"
"6303","1.2405301991694917","1.2405301991694917","1.2405301991694917"
"6561","1.0275781778653315","1.0275781778653315","1.0275781778653315"
"6820","1.1506005532763623","1.1506005532763623","1.1506005532763623"
"7075","1.2261906510512173","1.2261906510512173","1.2261906510512173"
"7333","1.1412100321630563","1.1412100321630563","1.1412100321630563"
"7602","1.2589560165834517","1.2589560165834517","1.2589560165834517"
"7868","1.0196702390551786","1.0196702390551786","1.0196702390551786"
"8129","1.1851142075326708","1.1851142075326708","1.1851142075326708"
"8399","1.0059798909954865","1.0059798909954865","1.0059798909954865"
"8663","1.163326403659044","1.163326403659044","1.163326403659044"
"8918","1.1325761907940937","1.1325761907940937","1.1325761907940937"
"9184","1.1513303169341436","1.1513303169341436","1.1513303169341436"
"9443","1.079829407842071","1.079829407842071","1.079829407842071"
"9703","1.3543578009173443","1.3543578009173443","1.3543578009173443"
"9965","1.1584272993590545","1.1584272993590545","1.1584272993590545"
"10226","1.3051677257702359","1.3051677257702359","1.3051677257702359"
"10484","1.1326218079887675","1.1326218079887675","1.1326218079887675"
"10751","1.0947541054776384","1.0947541054776384","1.0947541054776384"
"11019","1.2204794106510777","1.2204794106510777","1.2204794106510777"
"11289","1.2142666078940103","1.2142666078940103","1.2142666078940103"
"11563","1.0910114368018522","1.0910114368018522","1.0910114368018522"
"11821","1.0882589523488662","1.0882589523488662","1.0882589523488662"
"12085","1.187160898637268","1.187160898637268","1.187160898637268"
"12347","1.0843066547583184","1.0843066547583184","1.0843066547583184"
"12609","1.1373344019800253","1.1373344019800253","1.1373344019800253"
"12872","1.087487871659968","1.087487871659968","1.087487871659968"
"13134","1.1215241972305294","1.1215241972305294","1.1215241972305294"
"13407","1.0407294341221065","1.0407294341221065","1.0407294341221065"
"13671","1.100205309219072","1.100205309219072","1.100205309219072"
"13924","1.0901142110703168","1.0901142110703168","1.0901142110703168"
"14193","1.1650588100959076","1.1650588100959076","1.1650588100959076"
"14455","1.1309513899970298","1.1309513899970298","1.1309513899970298"
"14711","1.0523970709268238","1.0523970709268238","1.0523970709268238"
"14975","1.1258787713771792","1.1258787713771792","1.1258787713771792"
"15233","1.0465132941770605","1.0465132941770605","1.0465132941770605"
"15488","1.1403166199914039","1.1403166199914039","1.1403166199914039"
"15752","1.0519902705871311","1.0519902705871311","1.0519902705871311"
"16020","1.0677847331514823","1.0677847331514823","1.0677847331514823"
"16279","1.1651418181231816","1.1651418181231816","1.1651418181231816"
"16544","1.062824744662201","1.062824744662201","1.062824744662201"
"16810","1.088536297786912","1.088536297786912","1.088536297786912"
"17078","1.1518579217389708","1.1518579217389708","1.1518579217389708"
"17343","1.2129348286875972","1.2129348286875972","1.2129348286875972"
"17605","1.0581615786309595","1.0581615786309595","1.0581615786309595"
"17868","1.1630011024400317","1.1630011024400317","1.1630011024400317"
"18122","1.1293402425203196","1.1293402425203196","1.1293402425203196"
"18367","0.9901116374427349","0.9901116374427349","0.9901116374427349"
"18633","1.1426084724107133","1.1426084724107133","1.1426084724107133"
"18898","1.0643638463173088","1.0643638463173088","1.0643638463173088"
"19156","1.038943266592644","1.038943266592644","1.038943266592644"
"19420","1.1790426197341057","1.1790426197341057","1.1790426197341057"
"19677","1.050360961488655","1.050360961488655","1.050360961488655"
"19920","1.1036821219336144","1.1036821219336144","1.1036821219336144"
"20184","1.0305510586040865","1.0305510586040865","1.0305510586040865"
"20441","1.0409067059519985","1.0409067059519985","1.0409067059519985"
"20707","1.2764027938951688","1.2764027938951688","1.2764027938951688"
"20976","1.1058043646009732","1.1058043646009732","1.1058043646009732"
"21239","1.2016103269348828","1.2016103269348828","1.2016103269348828"
"21499","1.1036476754066018","1.1036476754066018","1.1036476754066018"
"21752","1.0735544531185652","1.0735544531185652","1.0735544531185652"
"22019","1.2422525743056927","1.2422525743056927","1.2422525743056927"
"22283","1.0613465039507934","1.0613465039507934","1.0613465039507934"
"22546","1.1504004540959738","1.1504004540959738","1.1504004540959738"
"22810","1.1751052532138095","1.1751052532138095","1.1751052532138095"
"23084","1.13251660069067","1.13251660069067","1.13251660069067"
"23329","1.176750682615589","1.176750682615589","1.176750682615589"
"23579","1.1893615911826836","1.1893615911826836","1.1893615911826836"
"23841","0.9835751095566023","0.9835751095566023","0.9835751095566023"
"24102","0.9924570557769147","0.9924570557769147","0.9924570557769147"
"24363","1.1983927033512345","1.1983927033512345","1.1983927033512345"
"24625","1.1458743595250975","1.1458743595250975","1.1458743595250975"
"24879","1.1525425815623802","1.1525425815623802","1.1525425815623802"
"25138","1.029640260378882","1.029640260378882","1.029640260378882"
"25386","1.214597768265392","1.214597768265392","1.214597768265392"
"25636","1.076747886088701","1.076747886088701","1.076747886088701"
"25907","1.0797829646170414","1.0797829646170414","1.0797829646170414"
"26176","1.2134722633011523","1.2134722633011523","1.2134722633011523"
"26435","1.1460531663927853","1.1460531663927853","1.1460531663927853"
"26686","1.1707920270961567","1.1707920270961567","1.1707920270961567"
"26943","1.2204947930795176","1.2204947930795176","1.2204947930795176"
"27193","1.1407834027801054","1.1407834027801054","1.1407834027801054"
"27458","1.156294403824529","1.156294403824529","1.156294403824529"
"27727","1.0681735340293348","1.0681735340293348","1.0681735340293348"
"27982","1.0811972694518908","1.0811972694518908","1.0811972694518908"
"28246","1.0604569838247846","1.0604569838247846","1.0604569838247846"
"28498","1.041339959197066","1.041339959197066","1.041339959197066"
"28764","1.0714686638953637","1.0714686638953637","1.0714686638953637"
"29026","0.9931939434803402","0.9931939434803402","0.9931939434803402"
"29289","1.0571945811794312","1.0571945811794312","1.0571945811794312"
"29547","1.1005783099316802","1.1005783099316802","1.1005783099316802"
"29814","1.1390092401141112","1.1390092401141112","1.1390092401141112"
"30077","1.1054520655148437","1.1054520655148437","1.1054520655148437"
"30329","1.1797596442317835","1.1797596442317835","1.1797596442317835"
"30600","1.2074134957834355","1.2074134957834355","1.2074134957834355"
"30863","1.1161747435570255","1.1161747435570255","1.1161747435570255"
"31127","1.193927540284578","1.193927540284578","1.193927540284578"
"31391","1.067815039183161","1.067815039183161","1.067815039183161"
"31658","1.2379388869177324","1.2379388869177324","1.2379388869177324"
"31917","1.0989706011108396","1.0989706011108396","1.0989706011108396"
"32178","1.073946643148195","1.073946643148195","1.073946643148195"
"32436","1.1186246255007177","1.1186246255007177","1.1186246255007177"
"32696","1.1750066766176082","1.1750066766176082","1.1750066766176082"
"32956","1.1172562757871247","1.1172562757871247","1.1172562757871247"
"33221","1.1696610620650858","1.1696610620650858","1.1696610620650858"
"33486","1.1033266570419074","1.1033266570419074","1.1033266570419074"
"33748","1.0000857395443679","1.0000857395443679","1.0000857395443679"
"34001","1.158095647765282","1.158095647765282","1.158095647765282"
"34264","0.9028533632524284","0.9028533632524284","0.9028533632524284"
"34524","1.033805456603585","1.033805456603585","1.033805456603585"
"34776","0.9586994806097613","0.9586994806097613","0.9586994806097613"
"35043","1.0937097504006963","1.0937097504006963","1.0937097504006963"
"35306","1.0010385727716817","1.0010385727716817","1.0010385727716817"
"35570","1.2119660680208053","1.2119660680208053","1.2119660680208053"
"35833","1.0771080199518452","1.0771080199518452","1.0771080199518452"
