"Step","1.random_0_0.0001 - average_loss","1.random_0_0.0001 - average_loss__MIN","1.random_0_0.0001 - average_loss__MAX"
"259","1.055423682612","1.055423682612","1.055423682612"
"520","0.9834578198263015","0.9834578198263015","0.9834578198263015"
"782","0.908668970116056","0.908668970116056","0.908668970116056"
"1042","0.8455756860160736","0.8455756860160736","0.8455756860160736"
"1302","0.8112761941103434","0.8112761941103434","0.8112761941103434"
"1560","0.7950994022162133","0.7950994022162133","0.7950994022162133"
"1821","0.775624896745395","0.775624896745395","0.775624896745395"
"2083","0.7727794570364911","0.7727794570364911","0.7727794570364911"
"2348","0.7672670878259078","0.7672670878259078","0.7672670878259078"
"2608","0.7369219818940529","0.7369219818940529","0.7369219818940529"
"2869","0.7378870800364153","0.7378870800364153","0.7378870800364153"
"3129","0.7135122379527964","0.7135122379527964","0.7135122379527964"
"3391","0.7034423771165027","0.7034423771165027","0.7034423771165027"
"3655","0.6912166853680423","0.6912166853680423","0.6912166853680423"
"3918","0.6861859160571044","0.6861859160571044","0.6861859160571044"
"4177","0.6703966069994992","0.6703966069994992","0.6703966069994992"
"4442","0.6702439092169955","0.6702439092169955","0.6702439092169955"
"4703","0.6790646322269857","0.6790646322269857","0.6790646322269857"
"4966","0.6771822876339271","0.6771822876339271","0.6771822876339271"
"5227","0.6429133925201564","0.6429133925201564","0.6429133925201564"
"5488","0.6614941874968594","0.6614941874968594","0.6614941874968594"
"5749","0.6443740418503204","0.6443740418503204","0.6443740418503204"
"6010","0.6295034672930893","0.6295034672930893","0.6295034672930893"
"6271","0.6223522660184383","0.6223522660184383","0.6223522660184383"
"6533","0.6545846263018366","0.6545846263018366","0.6545846263018366"
"6794","0.6276049889225996","0.6276049889225996","0.6276049889225996"
"7061","0.6422202820272258","0.6422202820272258","0.6422202820272258"
"7325","0.6076600547724714","0.6076600547724714","0.6076600547724714"
"7587","0.6159500049802513","0.6159500049802513","0.6159500049802513"
"7845","0.604031937600067","0.604031937600067","0.604031937600067"
"8107","0.6251574390934724","0.6251574390934724","0.6251574390934724"
"8363","0.6144261827328424","0.6144261827328424","0.6144261827328424"
"8628","0.6058408510200961","0.6058408510200961","0.6058408510200961"
"8886","0.586057377460178","0.586057377460178","0.586057377460178"
"9144","0.5888722093768732","0.5888722093768732","0.5888722093768732"
"9411","0.5911305435940123","0.5911305435940123","0.5911305435940123"
"9672","0.5908493949846855","0.5908493949846855","0.5908493949846855"
"9932","0.5915315997903677","0.5915315997903677","0.5915315997903677"
"10195","0.5824540917281852","0.5824540917281852","0.5824540917281852"
"10461","0.5750132801233611","0.5750132801233611","0.5750132801233611"
"10720","0.5922348611518912","0.5922348611518912","0.5922348611518912"
"10979","0.5734526696811176","0.5734526696811176","0.5734526696811176"
"11243","0.5860486791182323","0.5860486791182323","0.5860486791182323"
"11503","0.5611356392224458","0.5611356392224458","0.5611356392224458"
"11766","0.576254029726525","0.576254029726525","0.576254029726525"
"12028","0.6056746067905813","0.6056746067905813","0.6056746067905813"
"12290","0.5740882587825297","0.5740882587825297","0.5740882587825297"
"12549","0.5597475993554466","0.5597475993554466","0.5597475993554466"
"12813","0.5731378139109549","0.5731378139109549","0.5731378139109549"
"13070","0.6016303197071247","0.6016303197071247","0.6016303197071247"
"13331","0.5876677797561929","0.5876677797561929","0.5876677797561929"
"13587","0.5772993010846345","0.5772993010846345","0.5772993010846345"
"13850","0.5693470765658804","0.5693470765658804","0.5693470765658804"
"14109","0.5701761827393795","0.5701761827393795","0.5701761827393795"
"14372","0.5460196114006216","0.5460196114006216","0.5460196114006216"
"14632","0.5583099049075244","0.5583099049075244","0.5583099049075244"
"14897","0.5600996174440352","0.5600996174440352","0.5600996174440352"
"15158","0.5580934481623928","0.5580934481623928","0.5580934481623928"
"15416","0.5496344469469757","0.5496344469469757","0.5496344469469757"
"15673","0.5578382300397119","0.5578382300397119","0.5578382300397119"
"15939","0.581229058559984","0.581229058559984","0.581229058559984"
"16201","0.559032095215845","0.559032095215845","0.559032095215845"
"16465","0.5625660498854967","0.5625660498854967","0.5625660498854967"
"16724","0.5397281929505378","0.5397281929505378","0.5397281929505378"
"16989","0.5558904004335966","0.5558904004335966","0.5558904004335966"
"17252","0.5590383504467988","0.5590383504467988","0.5590383504467988"
"17509","0.559596987128344","0.559596987128344","0.559596987128344"
"17771","0.547607533437175","0.547607533437175","0.547607533437175"
"18034","0.5534345325231836","0.5534345325231836","0.5534345325231836"
"18297","0.5571506460275473","0.5571506460275473","0.5571506460275473"
"18559","0.5610175443180337","0.5610175443180337","0.5610175443180337"
"18818","0.5421907190630078","0.5421907190630078","0.5421907190630078"
"19082","0.5497860515771328","0.5497860515771328","0.5497860515771328"
"19346","0.5562845722644213","0.5562845722644213","0.5562845722644213"
"19610","0.5265879194347804","0.5265879194347804","0.5265879194347804"
"19869","0.5393655138889549","0.5393655138889549","0.5393655138889549"
"20129","0.5445367449419966","0.5445367449419966","0.5445367449419966"
"20390","0.5398896918025482","0.5398896918025482","0.5398896918025482"
"20647","0.5332389302260264","0.5332389302260264","0.5332389302260264"
"20908","0.5380069688246906","0.5380069688246906","0.5380069688246906"
"21167","0.5233470416448723","0.5233470416448723","0.5233470416448723"
"21422","0.541535329860599","0.541535329860599","0.541535329860599"
"21680","0.5367797836234779","0.5367797836234779","0.5367797836234779"
"21942","0.5360035308915416","0.5360035308915416","0.5360035308915416"
"22209","0.5527230823864194","0.5527230823864194","0.5527230823864194"
"22469","0.5301022256485461","0.5301022256485461","0.5301022256485461"
"22726","0.5283355183142926","0.5283355183142926","0.5283355183142926"
"22987","0.5154657144481918","0.5154657144481918","0.5154657144481918"
"23252","0.5252073851609358","0.5252073851609358","0.5252073851609358"
"23516","0.5378283812541444","0.5378283812541444","0.5378283812541444"
"23776","0.5378704264250092","0.5378704264250092","0.5378704264250092"
"24035","0.5152666347513262","0.5152666347513262","0.5152666347513262"
"24294","0.5317382397432182","0.5317382397432182","0.5317382397432182"
"24553","0.51206652448816","0.51206652448816","0.51206652448816"
"24816","0.528123510179505","0.528123510179505","0.528123510179505"
"25078","0.5328263805980105","0.5328263805980105","0.5328263805980105"
"25337","0.5227246215588568","0.5227246215588568","0.5227246215588568"
"25601","0.5146164369670618","0.5146164369670618","0.5146164369670618"
"25861","0.5259901184298965","0.5259901184298965","0.5259901184298965"
"26122","0.5278797032683366","0.5278797032683366","0.5278797032683366"
"26384","0.5285958431418486","0.5285958431418486","0.5285958431418486"
"26646","0.5251483223578067","0.5251483223578067","0.5251483223578067"
"26901","0.533120215726049","0.533120215726049","0.533120215726049"
"27169","0.5207060021939062","0.5207060021939062","0.5207060021939062"
"27429","0.5339728979803766","0.5339728979803766","0.5339728979803766"
"27691","0.5129378650759189","0.5129378650759189","0.5129378650759189"
"27953","0.5272068762050297","0.5272068762050297","0.5272068762050297"
"28215","0.5054153083919233","0.5054153083919233","0.5054153083919233"
"28480","0.5112081889801149","0.5112081889801149","0.5112081889801149"
"28742","0.5262428961666019","0.5262428961666019","0.5262428961666019"
"29006","0.5245689408197085","0.5245689408197085","0.5245689408197085"
"29266","0.5064236791249221","0.5064236791249221","0.5064236791249221"
"29534","0.5266837762809997","0.5266837762809997","0.5266837762809997"
"29798","0.4997460190101333","0.4997460190101333","0.4997460190101333"
"30059","0.5083846147163267","0.5083846147163267","0.5083846147163267"
"30321","0.5059452990312628","0.5059452990312628","0.5059452990312628"
"30584","0.5063821556118245","0.5063821556118245","0.5063821556118245"
"30849","0.5222356877545649","0.5222356877545649","0.5222356877545649"
"31108","0.5035241245752353","0.5035241245752353","0.5035241245752353"
"31371","0.5262408565962687","0.5262408565962687","0.5262408565962687"
"31635","0.5014809686989296","0.5014809686989296","0.5014809686989296"
"31899","0.5063486109441677","0.5063486109441677","0.5063486109441677"
"32161","0.4974954624970754","0.4974954624970754","0.4974954624970754"
"32423","0.47577559598545843","0.47577559598545843","0.47577559598545843"
"32688","0.5074764809746928","0.5074764809746928","0.5074764809746928"
"32953","0.5172962047720582","0.5172962047720582","0.5172962047720582"
"33222","0.5012862773521451","0.5012862773521451","0.5012862773521451"
"33485","0.48739629756047864","0.48739629756047864","0.48739629756047864"
"33746","0.5149568246326075","0.5149568246326075","0.5149568246326075"
"34005","0.5052585617951962","0.5052585617951962","0.5052585617951962"
"34267","0.48343093805015086","0.48343093805015086","0.48343093805015086"
"34525","0.4869227675255388","0.4869227675255388","0.4869227675255388"
"34782","0.49159504771034834","0.49159504771034834","0.49159504771034834"
"35046","0.489688270516382","0.489688270516382","0.489688270516382"
"35306","0.5234514564388143","0.5234514564388143","0.5234514564388143"
"35570","0.5125066134388144","0.5125066134388144","0.5125066134388144"
"35834","0.49192846662546963","0.49192846662546963","0.49192846662546963"
"36095","0.4734160492512977","0.4734160492512977","0.4734160492512977"
"36358","0.48445246626715394","0.48445246626715394","0.48445246626715394"
"36620","0.4882458781759287","0.4882458781759287","0.4882458781759287"
"36881","0.4804089456971492","0.4804089456971492","0.4804089456971492"
"37142","0.4885374856295192","0.4885374856295192","0.4885374856295192"
"37402","0.4831778330835872","0.4831778330835872","0.4831778330835872"
"37663","0.49521908637270273","0.49521908637270273","0.49521908637270273"
"37927","0.4991780723392401","0.4991780723392401","0.4991780723392401"
"38191","0.4903461523672757","0.4903461523672757","0.4903461523672757"
"38452","0.47906780843373203","0.47906780843373203","0.47906780843373203"
"38717","0.4924475169124404","0.4924475169124404","0.4924475169124404"
"38975","0.46823472230448976","0.46823472230448976","0.46823472230448976"
"39233","0.5168149721522581","0.5168149721522581","0.5168149721522581"
"39495","0.48939350434529566","0.48939350434529566","0.48939350434529566"
"39759","0.49339044585243264","0.49339044585243264","0.49339044585243264"
"40020","0.4706675741298992","0.4706675741298992","0.4706675741298992"
"40284","0.49523390634091635","0.49523390634091635","0.49523390634091635"
"40546","0.4864905036317368","0.4864905036317368","0.4864905036317368"
"40805","0.48557603016042533","0.48557603016042533","0.48557603016042533"
"41064","0.49296284920912775","0.49296284920912775","0.49296284920912775"
"41322","0.48721506234430817","0.48721506234430817","0.48721506234430817"
"41582","0.47841043239971803","0.47841043239971803","0.47841043239971803"
"41844","0.4708653377261586","0.4708653377261586","0.4708653377261586"
"42105","0.47644704966447676","0.47644704966447676","0.47644704966447676"
