"Step","1.drop_0_0.0001 - average_loss","1.drop_0_0.0001 - average_loss__MIN","1.drop_0_0.0001 - average_loss__MAX"
"260","1.041421398010544","1.041421398010544","1.041421398010544"
"525","0.9990388874737721","0.9990388874737721","0.9990388874737721"
"787","0.9186847909661754","0.9186847909661754","0.9186847909661754"
"1050","0.8291957268186848","0.8291957268186848","0.8291957268186848"
"1312","0.7595874367935853","0.7595874367935853","0.7595874367935853"
"1574","0.71426772426143","0.71426772426143","0.71426772426143"
"1836","0.6783197960738121","0.6783197960738121","0.6783197960738121"
"2095","0.6313404975310252","0.6313404975310252","0.6313404975310252"
"2355","0.5952612829154752","0.5952612829154752","0.5952612829154752"
"2619","0.5908587574176775","0.5908587574176775","0.5908587574176775"
"2883","0.5558984847212175","0.5558984847212175","0.5558984847212175"
"3149","0.5658571297267698","0.5658571297267698","0.5658571297267698"
"3409","0.5718278386381291","0.5718278386381291","0.5718278386381291"
"3674","0.550834749017447","0.550834749017447","0.550834749017447"
"3932","0.5470025495960171","0.5470025495960171","0.5470025495960171"
"4198","0.5162124769755182","0.5162124769755182","0.5162124769755182"
"4463","0.5262250145967293","0.5262250145967293","0.5262250145967293"
"4726","0.5306598077718676","0.5306598077718676","0.5306598077718676"
"4987","0.4875479737988137","0.4875479737988137","0.4875479737988137"
"5249","0.4819608462060679","0.4819608462060679","0.4819608462060679"
"5510","0.49095292631752474","0.49095292631752474","0.49095292631752474"
"5776","0.4969408414063026","0.4969408414063026","0.4969408414063026"
"6037","0.47620648858155135","0.47620648858155135","0.47620648858155135"
"6299","0.4581059789078893","0.4581059789078893","0.4581059789078893"
"6556","0.4362894339236216","0.4362894339236216","0.4362894339236216"
"6819","0.4480315645429955","0.4480315645429955","0.4480315645429955"
"7084","0.4502784439757692","0.4502784439757692","0.4502784439757692"
"7347","0.4302942448910677","0.4302942448910677","0.4302942448910677"
"7609","0.4377591935597815","0.4377591935597815","0.4377591935597815"
"7872","0.41893265241488925","0.41893265241488925","0.41893265241488925"
"8129","0.4383879871531625","0.4383879871531625","0.4383879871531625"
"8392","0.4292291408261428","0.4292291408261428","0.4292291408261428"
"8655","0.42516756946888734","0.42516756946888734","0.42516756946888734"
"8915","0.4274506748785975","0.4274506748785975","0.4274506748785975"
"9174","0.41281945552995813","0.41281945552995813","0.41281945552995813"
"9434","0.41507087963431394","0.41507087963431394","0.41507087963431394"
"9699","0.39960264729399403","0.39960264729399403","0.39960264729399403"
"9962","0.39526111290626625","0.39526111290626625","0.39526111290626625"
"10219","0.42173241018623286","0.42173241018623286","0.42173241018623286"
"10482","0.3952108161125816","0.3952108161125816","0.3952108161125816"
"10745","0.4059660718349726","0.4059660718349726","0.4059660718349726"
"11005","0.4067470675377484","0.4067470675377484","0.4067470675377484"
"11261","0.3988661282364494","0.3988661282364494","0.3988661282364494"
"11518","0.3838720763762763","0.3838720763762763","0.3838720763762763"
"11775","0.3922083852794599","0.3922083852794599","0.3922083852794599"
"12035","0.3937270732361909","0.3937270732361909","0.3937270732361909"
"12299","0.38630114362908985","0.38630114362908985","0.38630114362908985"
"12562","0.39244179679080843","0.39244179679080843","0.39244179679080843"
"12822","0.3723254371220353","0.3723254371220353","0.3723254371220353"
"13083","0.3865247127983918","0.3865247127983918","0.3865247127983918"
"13342","0.403011777777694","0.403011777777694","0.403011777777694"
"13606","0.38690388032514955","0.38690388032514955","0.38690388032514955"
"13873","0.4076446197136785","0.4076446197136785","0.4076446197136785"
"14132","0.392538106945875","0.392538106945875","0.392538106945875"
"14389","0.36723835201723454","0.36723835201723454","0.36723835201723454"
"14650","0.37680071473613863","0.37680071473613863","0.37680071473613863"
"14911","0.381910572395842","0.381910572395842","0.381910572395842"
"15172","0.37939829122314367","0.37939829122314367","0.37939829122314367"
"15434","0.39248549609848726","0.39248549609848726","0.39248549609848726"
