"Step","fine tune no_0_1e-05 - average_loss","fine tune no_0_1e-05 - average_loss__MIN","fine tune no_0_1e-05 - average_loss__MAX"
"260","0.35544134520767434","0.35544134520767434","0.35544134520767434"
"526","0.35755737542880356","0.35755737542880356","0.35755737542880356"
"783","0.3418031235910711","0.3418031235910711","0.3418031235910711"
"1039","0.3414205791907779","0.3414205791907779","0.3414205791907779"
"1304","0.35296716020502744","0.35296716020502744","0.35296716020502744"
"1566","0.34754636687982193","0.34754636687982193","0.34754636687982193"
"1823","0.34183335441503004","0.34183335441503004","0.34183335441503004"
"2084","0.3358239632769477","0.3358239632769477","0.3358239632769477"
"2348","0.33844930620618024","0.33844930620618024","0.33844930620618024"
"2611","0.3364373830614526","0.3364373830614526","0.3364373830614526"
"2871","0.330004982239716","0.330004982239716","0.330004982239716"
"3129","0.3295861851935487","0.3295861851935487","0.3295861851935487"
"3390","0.3249346184426522","0.3249346184426522","0.3249346184426522"
"3652","0.33386126667207394","0.33386126667207394","0.33386126667207394"
"3916","0.330683956255212","0.330683956255212","0.330683956255212"
"4177","0.32725098188576984","0.32725098188576984","0.32725098188576984"
"4437","0.3323019420208696","0.3323019420208696","0.3323019420208696"
"4698","0.3222465044367091","0.3222465044367091","0.3222465044367091"
"4958","0.31944278619740735","0.31944278619740735","0.31944278619740735"
"5223","0.325706744141688","0.325706744141688","0.325706744141688"
"5486","0.32238738397883143","0.32238738397883143","0.32238738397883143"
"5744","0.3231797900799712","0.3231797900799712","0.3231797900799712"
"6005","0.3121765836010538","0.3121765836010538","0.3121765836010538"
"6266","0.3196937371091386","0.3196937371091386","0.3196937371091386"
"6526","0.30933125391040356","0.30933125391040356","0.30933125391040356"
"6787","0.3067902247042927","0.3067902247042927","0.3067902247042927"
"7046","0.3108003486970036","0.3108003486970036","0.3108003486970036"
"7308","0.3038210376349947","0.3038210376349947","0.3038210376349947"
"7569","0.3061584555720821","0.3061584555720821","0.3061584555720821"
"7826","0.30218661041502715","0.30218661041502715","0.30218661041502715"
"8087","0.3062200058560276","0.3062200058560276","0.3062200058560276"
"8348","0.29772424277050696","0.29772424277050696","0.29772424277050696"
"8607","0.3014565484709308","0.3014565484709308","0.3014565484709308"
"8867","0.2998136469331648","0.2998136469331648","0.2998136469331648"
"9124","0.29899897124295605","0.29899897124295605","0.29899897124295605"
"9387","0.30105257273572866","0.30105257273572866","0.30105257273572866"
"9646","0.303263810152383","0.303263810152383","0.303263810152383"
"9908","0.3040148892232817","0.3040148892232817","0.3040148892232817"
"10168","0.2895081782086681","0.2895081782086681","0.2895081782086681"
"10431","0.29337981311654493","0.29337981311654493","0.29337981311654493"
"10691","0.29095900399467856","0.29095900399467856","0.29095900399467856"
"10952","0.2923041298183632","0.2923041298183632","0.2923041298183632"
"11206","0.2896479420186789","0.2896479420186789","0.2896479420186789"
"11470","0.2965753213999521","0.2965753213999521","0.2965753213999521"
"11734","0.2943933168675143","0.2943933168675143","0.2943933168675143"
"11997","0.2963572273321474","0.2963572273321474","0.2963572273321474"
"12259","0.28059348982643517","0.28059348982643517","0.28059348982643517"
"12521","0.29224162376263074","0.29224162376263074","0.29224162376263074"
"12780","0.29117960894457795","0.29117960894457795","0.29117960894457795"
"13042","0.2887050063743268","0.2887050063743268","0.2887050063743268"
"13309","0.29457591088296964","0.29457591088296964","0.29457591088296964"
"13569","0.3022814474047976","0.3022814474047976","0.3022814474047976"
"13829","0.2888396128759688","0.2888396128759688","0.2888396128759688"
"14094","0.28699528452106304","0.28699528452106304","0.28699528452106304"
"14352","0.28918308089161093","0.28918308089161093","0.28918308089161093"
"14616","0.28793345963590994","0.28793345963590994","0.28793345963590994"
"14880","0.2888307289410567","0.2888307289410567","0.2888307289410567"
"15143","0.283676768920411","0.283676768920411","0.283676768920411"
"15404","0.2766145903981216","0.2766145903981216","0.2766145903981216"
"15664","0.2863030470698152","0.2863030470698152","0.2863030470698152"
"15927","0.28008639331292146","0.28008639331292146","0.28008639331292146"
"16192","0.27847285719732134","0.27847285719732134","0.27847285719732134"
"16459","0.2855642749623002","0.2855642749623002","0.2855642749623002"
"16719","0.2758722013207042","0.2758722013207042","0.2758722013207042"
"16981","0.2884370366137763","0.2884370366137763","0.2884370366137763"
"17238","0.2797822198857505","0.2797822198857505","0.2797822198857505"
"17499","0.27648031036134085","0.27648031036134085","0.27648031036134085"
"17759","0.2765244579180708","0.2765244579180708","0.2765244579180708"
"18022","0.2729154911596937","0.2729154911596937","0.2729154911596937"
"18280","0.28011513906886654","0.28011513906886654","0.28011513906886654"
"18539","0.27454139514273235","0.27454139514273235","0.27454139514273235"
"18801","0.27132126142243695","0.27132126142243695","0.27132126142243695"
"19065","0.2854841819776674","0.2854841819776674","0.2854841819776674"
"19327","0.2757083487199783","0.2757083487199783","0.2757083487199783"
"19588","0.2726011758692865","0.2726011758692865","0.2726011758692865"
"19852","0.2780725555784915","0.2780725555784915","0.2780725555784915"
"20114","0.2737935092591766","0.2737935092591766","0.2737935092591766"
"20371","0.26595824346247854","0.26595824346247854","0.26595824346247854"
"20632","0.27332337316705857","0.27332337316705857","0.27332337316705857"
"20891","0.2788237562070563","0.2788237562070563","0.2788237562070563"
"21155","0.2782085094316388","0.2782085094316388","0.2782085094316388"
"21417","0.26617298432955855","0.26617298432955855","0.26617298432955855"
"21679","0.2795439250854015","0.2795439250854015","0.2795439250854015"
"21943","0.2700708789402215","0.2700708789402215","0.2700708789402215"
"22207","0.26904419901734744","0.26904419901734744","0.26904419901734744"
"22464","0.2687423290897731","0.2687423290897731","0.2687423290897731"
"22724","0.26767687472407625","0.26767687472407625","0.26767687472407625"
"22985","0.26271774378858137","0.26271774378858137","0.26271774378858137"
"23247","0.26728359739145474","0.26728359739145474","0.26728359739145474"
"23511","0.2706056210448007","0.2706056210448007","0.2706056210448007"
"23775","0.2760509714843199","0.2760509714843199","0.2760509714843199"
"24036","0.2631266426837032","0.2631266426837032","0.2631266426837032"
"24297","0.26989011340495084","0.26989011340495084","0.26989011340495084"
"24558","0.26716293551648806","0.26716293551648806","0.26716293551648806"
"24820","0.26851024406989155","0.26851024406989155","0.26851024406989155"
"25087","0.2688930393859924","0.2688930393859924","0.2688930393859924"
"25349","0.2626416685908768","0.2626416685908768","0.2626416685908768"
"25604","0.26055155911311373","0.26055155911311373","0.26055155911311373"
"25868","0.26709272853452626","0.26709272853452626","0.26709272853452626"
"26130","0.2662388339141805","0.2662388339141805","0.2662388339141805"
"26390","0.2620569130481376","0.2620569130481376","0.2620569130481376"
"26652","0.2768712095049962","0.2768712095049962","0.2768712095049962"
"26911","0.2625988266225945","0.2625988266225945","0.2625988266225945"
"27174","0.26178404568849367","0.26178404568849367","0.26178404568849367"
"27437","0.26336133488312957","0.26336133488312957","0.26336133488312957"
"27695","0.26404145369988397","0.26404145369988397","0.26404145369988397"
"27957","0.27007067034831556","0.27007067034831556","0.27007067034831556"
"28218","0.2637640634581378","0.2637640634581378","0.2637640634581378"
"28478","0.2583951960827504","0.2583951960827504","0.2583951960827504"
"28746","0.26546678971192167","0.26546678971192167","0.26546678971192167"
"29005","0.26431081705002296","0.26431081705002296","0.26431081705002296"
"29269","0.26273528796541146","0.26273528796541146","0.26273528796541146"
"29530","0.26267212205560797","0.26267212205560797","0.26267212205560797"
"29790","0.25630181435003246","0.25630181435003246","0.25630181435003246"
"30051","0.2561093468087573","0.2561093468087573","0.2561093468087573"
"30317","0.2631711534230095","0.2631711534230095","0.2631711534230095"
"30578","0.2547633303492644","0.2547633303492644","0.2547633303492644"
"30838","0.2618537861711235","0.2618537861711235","0.2618537861711235"
"31103","0.2686185282371937","0.2686185282371937","0.2686185282371937"
"31367","0.2624134988672209","0.2624134988672209","0.2624134988672209"
"31622","0.25315010578991465","0.25315010578991465","0.25315010578991465"
"31885","0.25271401371370167","0.25271401371370167","0.25271401371370167"
"32146","0.258833281078496","0.258833281078496","0.258833281078496"
"32407","0.2559236691575265","0.2559236691575265","0.2559236691575265"
"32669","0.25044895365635617","0.25044895365635617","0.25044895365635617"
"32929","0.2603332620588599","0.2603332620588599","0.2603332620588599"
"33191","0.25540774707477804","0.25540774707477804","0.25540774707477804"
"33449","0.2511793143031742","0.2511793143031742","0.2511793143031742"
"33711","0.2569467082883157","0.2569467082883157","0.2569467082883157"
"33976","0.24991804749189678","0.24991804749189678","0.24991804749189678"
"34237","0.2493502562292322","0.2493502562292322","0.2493502562292322"
"34501","0.254007018800507","0.254007018800507","0.254007018800507"
"34762","0.2532030944247863","0.2532030944247863","0.2532030944247863"
"35027","0.25032137683363115","0.25032137683363115","0.25032137683363115"
"35288","0.2511418900968706","0.2511418900968706","0.2511418900968706"
"35551","0.24683341301728245","0.24683341301728245","0.24683341301728245"
"35810","0.2467173338102724","0.2467173338102724","0.2467173338102724"
"36072","0.25064966974365","0.25064966974365","0.25064966974365"
"36331","0.2431962475083","0.2431962475083","0.2431962475083"
"36592","0.25091017004596405","0.25091017004596405","0.25091017004596405"
"36853","0.25188353520362117","0.25188353520362117","0.25188353520362117"
"37113","0.24510596513343233","0.24510596513343233","0.24510596513343233"
"37378","0.25729503825972094","0.25729503825972094","0.25729503825972094"
"37640","0.24894674682502338","0.24894674682502338","0.24894674682502338"
"37900","0.24579930735098376","0.24579930735098376","0.24579930735098376"
"38157","0.24827959840486874","0.24827959840486874","0.24827959840486874"
"38418","0.24259987337662806","0.24259987337662806","0.24259987337662806"
"38677","0.2406545228199585","0.2406545228199585","0.2406545228199585"
"38938","0.2455582895744285","0.2455582895744285","0.2455582895744285"
"39202","0.2508922046340887","0.2508922046340887","0.2508922046340887"
"39465","0.24745111884922916","0.24745111884922916","0.24745111884922916"
"39731","0.2535774815018616","0.2535774815018616","0.2535774815018616"
"39992","0.2459004852642618","0.2459004852642618","0.2459004852642618"
"40255","0.24482406096627915","0.24482406096627915","0.24482406096627915"
"40520","0.2489970392699755","0.2489970392699755","0.2489970392699755"
"40780","0.24604185048160282","0.24604185048160282","0.24604185048160282"
"41042","0.2418526202007252","0.2418526202007252","0.2418526202007252"
"41309","0.24264476848168687","0.24264476848168687","0.24264476848168687"
"41569","0.2530991355130424","0.2530991355130424","0.2530991355130424"
"41833","0.24496806899399073","0.24496806899399073","0.24496806899399073"
"42092","0.24383012908166035","0.24383012908166035","0.24383012908166035"
"42353","0.236966060626277","0.236966060626277","0.236966060626277"
"42619","0.24348688669489557","0.24348688669489557","0.24348688669489557"
"42878","0.2388513004119036","0.2388513004119036","0.2388513004119036"
"43138","0.23591496466163522","0.23591496466163522","0.23591496466163522"
"43402","0.24078642298404598","0.24078642298404598","0.24078642298404598"
"43658","0.22876454925213255","0.22876454925213255","0.22876454925213255"
"43920","0.2397645251492096","0.2397645251492096","0.2397645251492096"
"44185","0.24299857931143704","0.24299857931143704","0.24299857931143704"
"44450","0.2437899125224506","0.2437899125224506","0.2437899125224506"
"44708","0.23451113165177118","0.23451113165177118","0.23451113165177118"
"44969","0.2398357232419972","0.2398357232419972","0.2398357232419972"
"45233","0.23558574131820662","0.23558574131820662","0.23558574131820662"
"45497","0.2407550107202274","0.2407550107202274","0.2407550107202274"
"45760","0.24071834059950145","0.24071834059950145","0.24071834059950145"
"46021","0.23817068344484668","0.23817068344484668","0.23817068344484668"
"46280","0.23397440623957524","0.23397440623957524","0.23397440623957524"
"46545","0.25058088606160844","0.25058088606160844","0.25058088606160844"
"46810","0.24361259532732205","0.24361259532732205","0.24361259532732205"
"47072","0.2378492202710472","0.2378492202710472","0.2378492202710472"
"47332","0.23635162934397858","0.23635162934397858","0.23635162934397858"
"47593","0.23312461531764767","0.23312461531764767","0.23312461531764767"
"47849","0.23858258245971697","0.23858258245971697","0.23858258245971697"
"48115","0.2446970821876764","0.2446970821876764","0.2446970821876764"
"48376","0.23598098196933057","0.23598098196933057","0.23598098196933057"
"48634","0.2397120363901293","0.2397120363901293","0.2397120363901293"
"48900","0.23534523069579594","0.23534523069579594","0.23534523069579594"
"49164","0.23335487332269622","0.23335487332269622","0.23335487332269622"
"49426","0.2298504534511936","0.2298504534511936","0.2298504534511936"
"49688","0.23524849014598617","0.23524849014598617","0.23524849014598617"
"49946","0.23730865135972024","0.23730865135972024","0.23730865135972024"
"50208","0.24227379250384878","0.24227379250384878","0.24227379250384878"
"50467","0.22858737114225533","0.22858737114225533","0.22858737114225533"
"50729","0.231524458640527","0.231524458640527","0.231524458640527"
"50989","0.23303866519602479","0.23303866519602479","0.23303866519602479"
"51247","0.22800431876211552","0.22800431876211552","0.22800431876211552"
"51503","0.22619568128889514","0.22619568128889514","0.22619568128889514"
"51765","0.23289509249300375","0.23289509249300375","0.23289509249300375"
"52030","0.23273761917945143","0.23273761917945143","0.23273761917945143"
"52291","0.2283970457207433","0.2283970457207433","0.2283970457207433"
"52551","0.23411163344753733","0.23411163344753733","0.23411163344753733"
"52815","0.23509678584827215","0.23509678584827215","0.23509678584827215"
"53077","0.22947366737905955","0.22947366737905955","0.22947366737905955"
"53338","0.22529789994186455","0.22529789994186455","0.22529789994186455"
"53601","0.2311360967407489","0.2311360967407489","0.2311360967407489"
"53865","0.2290019047057697","0.2290019047057697","0.2290019047057697"
"54130","0.23396345015818173","0.23396345015818173","0.23396345015818173"
"54388","0.2235931468396239","0.2235931468396239","0.2235931468396239"
"54651","0.23481906126726107","0.23481906126726107","0.23481906126726107"
"54914","0.2240868590532239","0.2240868590532239","0.2240868590532239"
"55170","0.22194998700596377","0.22194998700596377","0.22194998700596377"
"55430","0.22622684924874473","0.22622684924874473","0.22622684924874473"
"55690","0.2231698231691999","0.2231698231691999","0.2231698231691999"
"55952","0.2269336161402827","0.2269336161402827","0.2269336161402827"
"56217","0.22317867336172034","0.22317867336172034","0.22317867336172034"
"56478","0.22447249450422505","0.22447249450422505","0.22447249450422505"
"56736","0.2299859109085397","0.2299859109085397","0.2299859109085397"
"56998","0.23194884708265623","0.23194884708265623","0.23194884708265623"
"57255","0.22298322860020114","0.22298322860020114","0.22298322860020114"
"57513","0.21839844737144476","0.21839844737144476","0.21839844737144476"
"57779","0.23186526652916312","0.23186526652916312","0.23186526652916312"
"58045","0.22624701086122775","0.22624701086122775","0.22624701086122775"
"58304","0.21590187579526512","0.21590187579526512","0.21590187579526512"
"58564","0.21617407819724077","0.21617407819724077","0.21617407819724077"
"58828","0.2235329193945496","0.2235329193945496","0.2235329193945496"
"59088","0.22099871707237898","0.22099871707237898","0.22099871707237898"
"59348","0.22820475664491935","0.22820475664491935","0.22820475664491935"
"59612","0.2224875161254387","0.2224875161254387","0.2224875161254387"
"59874","0.2256944884257385","0.2256944884257385","0.2256944884257385"
"60137","0.2190690937158919","0.2190690937158919","0.2190690937158919"
"60395","0.2221840433384067","0.2221840433384067","0.2221840433384067"
"60655","0.22782482313083655","0.22782482313083655","0.22782482313083655"
"60922","0.2232629040414682","0.2232629040414682","0.2232629040414682"
"61183","0.21782499192640795","0.21782499192640795","0.21782499192640795"
"61443","0.22620962627726024","0.22620962627726024","0.22620962627726024"
"61706","0.22076242538940788","0.22076242538940788","0.22076242538940788"
"61966","0.2105458958436189","0.2105458958436189","0.2105458958436189"
"62227","0.21818900603232252","0.21818900603232252","0.21818900603232252"
"62490","0.22043008551001936","0.22043008551001936","0.22043008551001936"
"62755","0.2151910632272304","0.2151910632272304","0.2151910632272304"
"63014","0.22929014220784935","0.22929014220784935","0.22929014220784935"
"63275","0.21291072030874192","0.21291072030874192","0.21291072030874192"
"63536","0.21713531547709233","0.21713531547709233","0.21713531547709233"
"63795","0.2169633913274848","0.2169633913274848","0.2169633913274848"
"64051","0.21426459487191787","0.21426459487191787","0.21426459487191787"
"64310","0.21513018653653537","0.21513018653653537","0.21513018653653537"
"64573","0.21438551457551908","0.21438551457551908","0.21438551457551908"
"64834","0.22632327859313772","0.22632327859313772","0.22632327859313772"
"65098","0.22458200440239398","0.22458200440239398","0.22458200440239398"
"65362","0.22148058330142914","0.22148058330142914","0.22148058330142914"
"65623","0.2103244714057543","0.2103244714057543","0.2103244714057543"
"65888","0.21560522026581022","0.21560522026581022","0.21560522026581022"
"66151","0.21517282354464473","0.21517282354464473","0.21517282354464473"
"66414","0.2133717783216608","0.2133717783216608","0.2133717783216608"
"66675","0.2154618634434323","0.2154618634434323","0.2154618634434323"
"66938","0.20999115488443335","0.20999115488443335","0.20999115488443335"
"67203","0.21440693185267215","0.21440693185267215","0.21440693185267215"
"67469","0.2138818750431144","0.2138818750431144","0.2138818750431144"
"67731","0.21612438069435788","0.21612438069435788","0.21612438069435788"
"67992","0.2119827657670752","0.2119827657670752","0.2119827657670752"
"68255","0.21237127583989826","0.21237127583989826","0.21237127583989826"
"68517","0.2284859617372196","0.2284859617372196","0.2284859617372196"
"68782","0.21270376841522612","0.21270376841522612","0.21270376841522612"
"69043","0.21715362446826614","0.21715362446826614","0.21715362446826614"
"69305","0.21456544444360515","0.21456544444360515","0.21456544444360515"
"69568","0.21212884510374913","0.21212884510374913","0.21212884510374913"
"69830","0.21618031320357053","0.21618031320357053","0.21618031320357053"
"70087","0.21262735980610048","0.21262735980610048","0.21262735980610048"
"70342","0.20882940890367152","0.20882940890367152","0.20882940890367152"
"70605","0.21721688870552447","0.21721688870552447","0.21721688870552447"
"70865","0.2070404830959096","0.2070404830959096","0.2070404830959096"
"71126","0.21699190333313778","0.21699190333313778","0.21699190333313778"
"71387","0.21398919658264698","0.21398919658264698","0.21398919658264698"
"71647","0.20926068558612596","0.20926068558612596","0.20926068558612596"
"71908","0.20745820403320106","0.20745820403320106","0.20745820403320106"
"72172","0.21040405165746795","0.21040405165746795","0.21040405165746795"
"72434","0.20987306224162433","0.20987306224162433","0.20987306224162433"
"72694","0.20406036650280993","0.20406036650280993","0.20406036650280993"
"72955","0.203968424945173","0.203968424945173","0.203968424945173"
"73216","0.20885947991563678","0.20885947991563678","0.20885947991563678"
"73478","0.20791811279392194","0.20791811279392194","0.20791811279392194"
"73740","0.21092085254216214","0.21092085254216214","0.21092085254216214"
"73999","0.2030908840327023","0.2030908840327023","0.2030908840327023"
"74261","0.203650175144524","0.203650175144524","0.203650175144524"
"74521","0.2062608666946988","0.2062608666946988","0.2062608666946988"
"74784","0.20988321943443197","0.20988321943443197","0.20988321943443197"
"75043","0.20071666510365013","0.20071666510365013","0.20071666510365013"
"75306","0.20246515318132713","0.20246515318132713","0.20246515318132713"
"75567","0.20818272155615145","0.20818272155615145","0.20818272155615145"
"75827","0.20924689458191867","0.20924689458191867","0.20924689458191867"
"76087","0.20909429436539342","0.20909429436539342","0.20909429436539342"
"76344","0.19874658466546405","0.19874658466546405","0.19874658466546405"
"76604","0.19923963031447534","0.19923963031447534","0.19923963031447534"
"76866","0.2076447370607479","0.2076447370607479","0.2076447370607479"
"77132","0.20708761149954266","0.20708761149954266","0.20708761149954266"
"77393","0.20421485053411187","0.20421485053411187","0.20421485053411187"
"77654","0.2064163078636505","0.2064163078636505","0.2064163078636505"
"77917","0.19950747058543758","0.19950747058543758","0.19950747058543758"
"78177","0.19998675398440047","0.19998675398440047","0.19998675398440047"
"78443","0.20484085843899072","0.20484085843899072","0.20484085843899072"
"78705","0.20484012715590758","0.20484012715590758","0.20484012715590758"
"78966","0.19978319548906392","0.19978319548906392","0.19978319548906392"
"79226","0.2005503022665866","0.2005503022665866","0.2005503022665866"
"79487","0.20397621195538826","0.20397621195538826","0.20397621195538826"
"79749","0.2007219943952439","0.2007219943952439","0.2007219943952439"
"80005","0.19456591383677732","0.19456591383677732","0.19456591383677732"
"80268","0.20699200440300966","0.20699200440300966","0.20699200440300966"
"80528","0.20321756035797964","0.20321756035797964","0.20321756035797964"
"80790","0.20154573985364968","0.20154573985364968","0.20154573985364968"
"81057","0.20435076640335734","0.20435076640335734","0.20435076640335734"
"81320","0.1954427329534121","0.1954427329534121","0.1954427329534121"
"81581","0.1994491672962673","0.1994491672962673","0.1994491672962673"
"81839","0.20476568154134808","0.20476568154134808","0.20476568154134808"
"82097","0.1940120359254478","0.1940120359254478","0.1940120359254478"
"82360","0.2081943651253893","0.2081943651253893","0.2081943651253893"
"82622","0.19848367122722788","0.19848367122722788","0.19848367122722788"
"82880","0.19168677980114496","0.19168677980114496","0.19168677980114496"
"83144","0.19938358288667038","0.19938358288667038","0.19938358288667038"
"83411","0.19991880262388181","0.19991880262388181","0.19991880262388181"
"83674","0.20265928793368834","0.20265928793368834","0.20265928793368834"
"83935","0.19367147502530005","0.19367147502530005","0.19367147502530005"
"84196","0.195353979459028","0.195353979459028","0.195353979459028"
"84461","0.20086493985815485","0.20086493985815485","0.20086493985815485"
"84726","0.199654565473027","0.199654565473027","0.199654565473027"
"84990","0.19243169925218187","0.19243169925218187","0.19243169925218187"
"85248","0.197281236961025","0.197281236961025","0.197281236961025"
"85509","0.1921350701277541","0.1921350701277541","0.1921350701277541"
"85772","0.19898914970531656","0.19898914970531656","0.19898914970531656"
"86035","0.19620390594775297","0.19620390594775297","0.19620390594775297"
"86297","0.19710610902135936","0.19710610902135936","0.19710610902135936"
"86558","0.19381673410833117","0.19381673410833117","0.19381673410833117"
"86819","0.1930733776309283","0.1930733776309283","0.1930733776309283"
"87083","0.19830608248293055","0.19830608248293055","0.19830608248293055"
"87343","0.19362830943340953","0.19362830943340953","0.19362830943340953"
"87606","0.19990011865783366","0.19990011865783366","0.19990011865783366"
"87869","0.1965989880875968","0.1965989880875968","0.1965989880875968"
"88134","0.19566423729950141","0.19566423729950141","0.19566423729950141"
"88400","0.2044095614585929","0.2044095614585929","0.2044095614585929"
"88661","0.19863420762158743","0.19863420762158743","0.19863420762158743"
"88917","0.1908389429566151","0.1908389429566151","0.1908389429566151"
"89179","0.1946008408802655","0.1946008408802655","0.1946008408802655"
"89443","0.19194131089340194","0.19194131089340194","0.19194131089340194"
"89709","0.1984655841872968","0.1984655841872968","0.1984655841872968"
"89965","0.19162738841809251","0.19162738841809251","0.19162738841809251"
"90228","0.19114742098719653","0.19114742098719653","0.19114742098719653"
"90490","0.19050605540561727","0.19050605540561727","0.19050605540561727"
"90748","0.1925913908593255","0.1925913908593255","0.1925913908593255"
"91008","0.1892831430398707","0.1892831430398707","0.1892831430398707"
"91268","0.19227004576967643","0.19227004576967643","0.19227004576967643"
"91531","0.19489892202220505","0.19489892202220505","0.19489892202220505"
"91796","0.19168671585882371","0.19168671585882371","0.19168671585882371"
"92055","0.1897818635929248","0.1897818635929248","0.1897818635929248"
"92313","0.183592922999911","0.183592922999911","0.183592922999911"
"92581","0.19689656109852863","0.19689656109852863","0.19689656109852863"
"92844","0.19263542572838505","0.19263542572838505","0.19263542572838505"
"93104","0.18601360419022045","0.18601360419022045","0.18601360419022045"
"93367","0.19533539467633948","0.19533539467633948","0.19533539467633948"
"93622","0.18064563898994956","0.18064563898994956","0.18064563898994956"
"93884","0.19285477037443893","0.19285477037443893","0.19285477037443893"
"94145","0.19379954473188962","0.19379954473188962","0.19379954473188962"
"94411","0.19226479693035411","0.19226479693035411","0.19226479693035411"
"94670","0.18239178717504168","0.18239178717504168","0.18239178717504168"
"94927","0.1805915744694401","0.1805915744694401","0.1805915744694401"
"95191","0.193211080408083","0.193211080408083","0.193211080408083"
"95456","0.18928015623119482","0.18928015623119482","0.18928015623119482"
"95720","0.18755304510881365","0.18755304510881365","0.18755304510881365"
"95982","0.1858244709898084","0.1858244709898084","0.1858244709898084"
"96243","0.1859928781754838","0.1859928781754838","0.1859928781754838"
"96506","0.1879571094055437","0.1879571094055437","0.1879571094055437"
"96767","0.18834372027173507","0.18834372027173507","0.18834372027173507"
"97029","0.18202107785725774","0.18202107785725774","0.18202107785725774"
"97284","0.18644731386863297","0.18644731386863297","0.18644731386863297"
"97549","0.18814816481293542","0.18814816481293542","0.18814816481293542"
"97813","0.18642354027683514","0.18642354027683514","0.18642354027683514"
"98074","0.18795190134077364","0.18795190134077364","0.18795190134077364"
"98333","0.18621707688562206","0.18621707688562206","0.18621707688562206"
"98593","0.18195005546218015","0.18195005546218015","0.18195005546218015"
"98850","0.18280281884218977","0.18280281884218977","0.18280281884218977"
