"Step","fine tune relabel+random_0_1e-05 - average_loss","fine tune relabel+random_0_1e-05 - average_loss__MIN","fine tune relabel+random_0_1e-05 - average_loss__MAX"
"266","1.26850475900703","1.26850475900703","1.26850475900703"
"519","1.2555689169852822","1.2555689169852822","1.2555689169852822"
"786","1.1754849422376838","1.1754849422376838","1.1754849422376838"
"1041","1.2904904815877132","1.2904904815877132","1.2904904815877132"
"1309","1.193593229741078","1.193593229741078","1.193593229741078"
"1582","1.1238457814298872","1.1238457814298872","1.1238457814298872"
"1850","1.1419463716266263","1.1419463716266263","1.1419463716266263"
"2109","1.0548955448247768","1.0548955448247768","1.0548955448247768"
"2371","1.1917533047497273","1.1917533047497273","1.1917533047497273"
"2635","1.0535756990091125","1.0535756990091125","1.0535756990091125"
"2909","1.1158217970126618","1.1158217970126618","1.1158217970126618"
"3156","1.2124229102866328","1.2124229102866328","1.2124229102866328"
"3423","1.1590581792801948","1.1590581792801948","1.1590581792801948"
"3677","1.2210059511308462","1.2210059511308462","1.2210059511308462"
"3943","1.215681901403277","1.215681901403277","1.215681901403277"
"4196","1.1650476673879142","1.1650476673879142","1.1650476673879142"
"4461","1.1254607016462144","1.1254607016462144","1.1254607016462144"
"4723","1.04207196411736","1.04207196411736","1.04207196411736"
"4986","1.2461362345581593","1.2461362345581593","1.2461362345581593"
"5257","1.112187185389165","1.112187185389165","1.112187185389165"
"5508","1.1019749900933062","1.1019749900933062","1.1019749900933062"
"5772","1.1371361247768172","1.1371361247768172","1.1371361247768172"
"6034","1.2472477043982333","1.2472477043982333","1.2472477043982333"
"6297","1.1590627753238314","1.1590627753238314","1.1590627753238314"
"6554","1.2442642295781565","1.2442642295781565","1.2442642295781565"
"6812","1.245448948753146","1.245448948753146","1.245448948753146"
"7062","1.1975040339404321","1.1975040339404321","1.1975040339404321"
"7319","1.228055698838499","1.228055698838499","1.228055698838499"
"7584","1.2045920264599603","1.2045920264599603","1.2045920264599603"
"7856","1.1777840128443706","1.1777840128443706","1.1777840128443706"
"8123","1.1255811964811715","1.1255811964811715","1.1255811964811715"
"8390","1.133068371536555","1.133068371536555","1.133068371536555"
"8656","1.2578261882731283","1.2578261882731283","1.2578261882731283"
"8931","1.1881872688839383","1.1881872688839383","1.1881872688839383"
"9197","1.1511324456578156","1.1511324456578156","1.1511324456578156"
"9460","1.2598471525272896","1.2598471525272896","1.2598471525272896"
"9721","1.2840077136758343","1.2840077136758343","1.2840077136758343"
"9982","1.177999166033233","1.177999166033233","1.177999166033233"
"10240","1.0698846449883357","1.0698846449883357","1.0698846449883357"
"10508","1.1937073772724676","1.1937073772724676","1.1937073772724676"
"10777","1.0481294617056847","1.0481294617056847","1.0481294617056847"
"11040","1.0614731728789155","1.0614731728789155","1.0614731728789155"
"11305","1.2030490987796039","1.2030490987796039","1.2030490987796039"
"11566","1.140124769200918","1.140124769200918","1.140124769200918"
"11832","1.16975275598018","1.16975275598018","1.16975275598018"
"12092","1.121817974665354","1.121817974665354","1.121817974665354"
"12344","1.159212010195929","1.159212010195929","1.159212010195929"
"12609","1.1831103238067504","1.1831103238067504","1.1831103238067504"
"12875","1.304041690044859","1.304041690044859","1.304041690044859"
"13135","1.0863290373997618","1.0863290373997618","1.0863290373997618"
"13405","1.2099445228666998","1.2099445228666998","1.2099445228666998"
"13661","1.0801204785152718","1.0801204785152718","1.0801204785152718"
"13917","1.1177117964915568","1.1177117964915568","1.1177117964915568"
"14168","1.2691859320357994","1.2691859320357994","1.2691859320357994"
"14437","1.0650029251166375","1.0650029251166375","1.0650029251166375"
"14707","1.2728328787389693","1.2728328787389693","1.2728328787389693"
"14975","1.187159354341426","1.187159354341426","1.187159354341426"
"15247","1.3327838282852147","1.3327838282852147","1.3327838282852147"
"15504","1.305123102976098","1.305123102976098","1.305123102976098"
"15769","0.9924427685757404","0.9924427685757404","0.9924427685757404"
"16031","1.187651179719045","1.187651179719045","1.187651179719045"
"16302","1.218382547347681","1.218382547347681","1.218382547347681"
"16569","1.1227131832750656","1.1227131832750656","1.1227131832750656"
"16826","1.3121406448888162","1.3121406448888162","1.3121406448888162"
"17089","1.2856857874327237","1.2856857874327237","1.2856857874327237"
"17355","1.0738672599811647","1.0738672599811647","1.0738672599811647"
"17609","1.1396716162734202","1.1396716162734202","1.1396716162734202"
"17878","1.2875506826967467","1.2875506826967467","1.2875506826967467"
"18127","1.0984183844628395","1.0984183844628395","1.0984183844628395"
"18391","1.1131005462716093","1.1131005462716093","1.1131005462716093"
"18652","1.1414251608386217","1.1414251608386217","1.1414251608386217"
"18912","1.1251095758096903","1.1251095758096903","1.1251095758096903"
"19171","1.186375575445926","1.186375575445926","1.186375575445926"
"19435","1.132936207352329","1.132936207352329","1.132936207352329"
"19698","1.16690597548476","1.16690597548476","1.16690597548476"
"19957","1.1635049408863807","1.1635049408863807","1.1635049408863807"
"20227","1.2131701186898647","1.2131701186898647","1.2131701186898647"
"20496","1.131316386366746","1.131316386366746","1.131316386366746"
"20764","1.2752820437705075","1.2752820437705075","1.2752820437705075"
"21032","1.2351407196637108","1.2351407196637108","1.2351407196637108"
"21300","1.3301345738076487","1.3301345738076487","1.3301345738076487"
"21560","1.2087869488555127","1.2087869488555127","1.2087869488555127"
"21819","1.1131802496047418","1.1131802496047418","1.1131802496047418"
"22086","1.1804976334700499","1.1804976334700499","1.1804976334700499"
"22340","1.128709642012944","1.128709642012944","1.128709642012944"
"22585","1.1234555324768045","1.1234555324768045","1.1234555324768045"
"22851","1.0627334761790712","1.0627334761790712","1.0627334761790712"
"23116","1.1142598347243946","1.1142598347243946","1.1142598347243946"
"23372","1.0756606004273581","1.0756606004273581","1.0756606004273581"
"23621","1.0636108018540982","1.0636108018540982","1.0636108018540982"
"23883","1.012813280340021","1.012813280340021","1.012813280340021"
"24145","1.214628563006669","1.214628563006669","1.214628563006669"
"24417","1.1113463756508053","1.1113463756508053","1.1113463756508053"
"24672","1.0538597565922718","1.0538597565922718","1.0538597565922718"
"24931","1.0442536570874088","1.0442536570874088","1.0442536570874088"
"25192","1.140250706028416","1.140250706028416","1.140250706028416"
"25453","1.01387800079715","1.01387800079715","1.01387800079715"
"25718","1.1239462434141725","1.1239462434141725","1.1239462434141725"
