"Step","1.g.4_0_0.0001 - average_loss","1.g.4_0_0.0001 - average_loss__MIN","1.g.4_0_0.0001 - average_loss__MAX"
"259","1.4478101052010237","1.4478101052010237","1.4478101052010237"
"517","1.438169643060485","1.438169643060485","1.438169643060485"
"768","1.5203455343457606","1.5203455343457606","1.5203455343457606"
"1019","1.3001088067834228","1.3001088067834228","1.3001088067834228"
"1280","1.4345436828602725","1.4345436828602725","1.4345436828602725"
"1541","1.3547894114497843","1.3547894114497843","1.3547894114497843"
"1795","1.5215847785842376","1.5215847785842376","1.5215847785842376"
"2053","1.3956747216712064","1.3956747216712064","1.3956747216712064"
"2311","1.443420546965779","1.443420546965779","1.443420546965779"
"2572","1.2129616336826992","1.2129616336826992","1.2129616336826992"
"2830","1.2448605056574096","1.2448605056574096","1.2448605056574096"
"3103","1.38135334315995","1.38135334315995","1.38135334315995"
"3358","1.3158113849229038","1.3158113849229038","1.3158113849229038"
"3622","1.1463604193194545","1.1463604193194545","1.1463604193194545"
"3884","1.196690194239771","1.196690194239771","1.196690194239771"
"4134","1.1226185147259315","1.1226185147259315","1.1226185147259315"
"4397","1.3866079054289946","1.3866079054289946","1.3866079054289946"
"4667","1.2791380517874602","1.2791380517874602","1.2791380517874602"
"4913","1.1834254106299744","1.1834254106299744","1.1834254106299744"
"5173","1.210173537075298","1.210173537075298","1.210173537075298"
"5435","1.2662905978408645","1.2662905978408645","1.2662905978408645"
"5688","1.3617220454499623","1.3617220454499623","1.3617220454499623"
"5949","1.3849430123004771","1.3849430123004771","1.3849430123004771"
"6220","1.1923155776427792","1.1923155776427792","1.1923155776427792"
"6483","1.2280220902839944","1.2280220902839944","1.2280220902839944"
"6746","1.2874150236151112","1.2874150236151112","1.2874150236151112"
"7016","1.2383182646699826","1.2383182646699826","1.2383182646699826"
"7265","1.1901746968205056","1.1901746968205056","1.1901746968205056"
"7524","1.1495565037208575","1.1495565037208575","1.1495565037208575"
"7793","1.1787420512803701","1.1787420512803701","1.1787420512803701"
"8060","1.2607580818703255","1.2607580818703255","1.2607580818703255"
"8327","1.1758866393801195","1.1758866393801195","1.1758866393801195"
"8591","1.1897753028746099","1.1897753028746099","1.1897753028746099"
"8861","1.1263976901976598","1.1263976901976598","1.1263976901976598"
"9125","1.3557725878865408","1.3557725878865408","1.3557725878865408"
"9380","1.2322936838044336","1.2322936838044336","1.2322936838044336"
"9648","1.193258638045302","1.193258638045302","1.193258638045302"
"9904","1.3046370702209296","1.3046370702209296","1.3046370702209296"
"10168","1.185914306186458","1.185914306186458","1.185914306186458"
"10421","1.245809428828458","1.245809428828458","1.245809428828458"
"10691","1.18360184510066","1.18360184510066","1.18360184510066"
"10964","1.3287891706630477","1.3287891706630477","1.3287891706630477"
