"Step","1.no_0_0.0001 - average_loss","1.no_0_0.0001 - average_loss__MIN","1.no_0_0.0001 - average_loss__MAX"
"261","1.0608696357439493","1.0608696357439493","1.0608696357439493"
"520","0.9765745523353341","0.9765745523353341","0.9765745523353341"
"783","0.9075942434943639","0.9075942434943639","0.9075942434943639"
"1044","0.7992023053753878","0.7992023053753878","0.7992023053753878"
"1306","0.7167638011541817","0.7167638011541817","0.7167638011541817"
"1566","0.6581274260205167","0.6581274260205167","0.6581274260205167"
"1827","0.6141867790120439","0.6141867790120439","0.6141867790120439"
"2092","0.570608900628","0.570608900628","0.570608900628"
"2353","0.544673128039435","0.544673128039435","0.544673128039435"
"2616","0.5210368506483395","0.5210368506483395","0.5210368506483395"
"2872","0.49864246501934295","0.49864246501934295","0.49864246501934295"
"3128","0.47453771624714136","0.47453771624714136","0.47453771624714136"
"3392","0.4710328710938661","0.4710328710938661","0.4710328710938661"
"3652","0.4402246356895372","0.4402246356895372","0.4402246356895372"
"3913","0.4407878574125017","0.4407878574125017","0.4407878574125017"
"4174","0.42015923112348624","0.42015923112348624","0.42015923112348624"
"4440","0.41445174254477024","0.41445174254477024","0.41445174254477024"
"4700","0.4114029563899184","0.4114029563899184","0.4114029563899184"
"4963","0.3925996340683771","0.3925996340683771","0.3925996340683771"
"5223","0.39336108043789864","0.39336108043789864","0.39336108043789864"
"5483","0.3833454993911661","0.3833454993911661","0.3833454993911661"
"5745","0.37342798589324616","0.37342798589324616","0.37342798589324616"
"6007","0.35750090674219925","0.35750090674219925","0.35750090674219925"
"6267","0.37288657778167517","0.37288657778167517","0.37288657778167517"
"6529","0.36515266168154353","0.36515266168154353","0.36515266168154353"
"6788","0.34844954375965664","0.34844954375965664","0.34844954375965664"
"7051","0.33649631505867356","0.33649631505867356","0.33649631505867356"
"7310","0.3346265471197836","0.3346265471197836","0.3346265471197836"
"7572","0.32766265789765736","0.32766265789765736","0.32766265789765736"
"7834","0.33609167413179125","0.33609167413179125","0.33609167413179125"
"8091","0.32969607518484384","0.32969607518484384","0.32969607518484384"
"8350","0.32231456943332637","0.32231456943332637","0.32231456943332637"
"8612","0.34204899014483364","0.34204899014483364","0.34204899014483364"
"8873","0.3220521518326828","0.3220521518326828","0.3220521518326828"
"9138","0.32616289669500764","0.32616289669500764","0.32616289669500764"
"9398","0.31656155136431785","0.31656155136431785","0.31656155136431785"
"9662","0.32524066722883554","0.32524066722883554","0.32524066722883554"
"9925","0.3386311772653033","0.3386311772653033","0.3386311772653033"
"10184","0.3065000888713785","0.3065000888713785","0.3065000888713785"
"10448","0.31895351577620196","0.31895351577620196","0.31895351577620196"
"10714","0.31525666195304525","0.31525666195304525","0.31525666195304525"
"10976","0.3043331681495919","0.3043331681495919","0.3043331681495919"
"11239","0.31593742494170113","0.31593742494170113","0.31593742494170113"
"11503","0.29830948450967215","0.29830948450967215","0.29830948450967215"
"11767","0.3037510595030244","0.3037510595030244","0.3037510595030244"
"12025","0.2944292430119422","0.2944292430119422","0.2944292430119422"
"12287","0.2984404372293964","0.2984404372293964","0.2984404372293964"
"12545","0.28651126257251375","0.28651126257251375","0.28651126257251375"
"12803","0.29644921176229033","0.29644921176229033","0.29644921176229033"
"13061","0.2973571826947281","0.2973571826947281","0.2973571826947281"
"13321","0.2918904309205545","0.2918904309205545","0.2918904309205545"
"13589","0.2996801637354678","0.2996801637354678","0.2996801637354678"
"13849","0.2840250388036585","0.2840250388036585","0.2840250388036585"
"14108","0.290873713020402","0.290873713020402","0.290873713020402"
"14369","0.28272621261019304","0.28272621261019304","0.28272621261019304"
"14631","0.2768601703291731","0.2768601703291731","0.2768601703291731"
"14896","0.2837938632193719","0.2837938632193719","0.2837938632193719"
"15157","0.2743547816204533","0.2743547816204533","0.2743547816204533"
"15413","0.27969710924168223","0.27969710924168223","0.27969710924168223"
"15672","0.2758809554297388","0.2758809554297388","0.2758809554297388"
"15938","0.27844041202320624","0.27844041202320624","0.27844041202320624"
"16197","0.27413291880996005","0.27413291880996005","0.27413291880996005"
"16458","0.27535261206672446","0.27535261206672446","0.27535261206672446"
"16719","0.27105228012594623","0.27105228012594623","0.27105228012594623"
"16980","0.2778261495211592","0.2778261495211592","0.2778261495211592"
"17239","0.271204167817513","0.271204167817513","0.271204167817513"
"17500","0.25801330071507894","0.25801330071507894","0.25801330071507894"
"17764","0.27109738876219075","0.27109738876219075","0.27109738876219075"
"18027","0.2681973814566907","0.2681973814566907","0.2681973814566907"
"18285","0.2695969631681326","0.2695969631681326","0.2695969631681326"
"18542","0.26180867742718633","0.26180867742718633","0.26180867742718633"
"18801","0.2570228835503451","0.2570228835503451","0.2570228835503451"
"19061","0.2660351485637806","0.2660351485637806","0.2660351485637806"
"19322","0.2565651668639585","0.2565651668639585","0.2565651668639585"
"19589","0.2628669125133387","0.2628669125133387","0.2628669125133387"
"19850","0.25513917356969446","0.25513917356969446","0.25513917356969446"
"20110","0.2581739916546772","0.2581739916546772","0.2581739916546772"
"20368","0.24994027250906709","0.24994027250906709","0.24994027250906709"
"20633","0.252637946856284","0.252637946856284","0.252637946856284"
"20890","0.24889243063094404","0.24889243063094404","0.24889243063094404"
"21157","0.25133387983209926","0.25133387983209926","0.25133387983209926"
"21414","0.2444909233676609","0.2444909233676609","0.2444909233676609"
"21676","0.24662499905650315","0.24662499905650315","0.24662499905650315"
"21939","0.2519212228902474","0.2519212228902474","0.2519212228902474"
"22201","0.24541681182879188","0.24541681182879188","0.24541681182879188"
"22458","0.24757114107465336","0.24757114107465336","0.24757114107465336"
"22719","0.24813116218929246","0.24813116218929246","0.24813116218929246"
"22981","0.24020176623148387","0.24020176623148387","0.24020176623148387"
"23241","0.231536871248941","0.231536871248941","0.231536871248941"
"23498","0.24275950861874662","0.24275950861874662","0.24275950861874662"
"23757","0.23287773541227547","0.23287773541227547","0.23287773541227547"
"24020","0.2342430031940827","0.2342430031940827","0.2342430031940827"
"24278","0.22921836496560075","0.22921836496560075","0.22921836496560075"
"24538","0.23425853637136868","0.23425853637136868","0.23425853637136868"
"24800","0.23107752456831243","0.23107752456831243","0.23107752456831243"
"25060","0.2294552253156273","0.2294552253156273","0.2294552253156273"
"25322","0.22165588951405135","0.22165588951405135","0.22165588951405135"
"25583","0.22206020832334505","0.22206020832334505","0.22206020832334505"
"25847","0.23185323784435344","0.23185323784435344","0.23185323784435344"
"26107","0.22256853161660775","0.22256853161660775","0.22256853161660775"
"26370","0.2225585557461071","0.2225585557461071","0.2225585557461071"
"26625","0.2205148696612226","0.2205148696612226","0.2205148696612226"
"26886","0.229491292720881","0.229491292720881","0.229491292720881"
"27149","0.22067569444830457","0.22067569444830457","0.22067569444830457"
"27411","0.21624940234796805","0.21624940234796805","0.21624940234796805"
"27670","0.22510548179235154","0.22510548179235154","0.22510548179235154"
"27933","0.22203937621310021","0.22203937621310021","0.22203937621310021"
"28193","0.21945920921871045","0.21945920921871045","0.21945920921871045"
"28456","0.2161175500547291","0.2161175500547291","0.2161175500547291"
"28715","0.20454740894866122","0.20454740894866122","0.20454740894866122"
"28975","0.21533996694010077","0.21533996694010077","0.21533996694010077"
"29234","0.2124564999582407","0.2124564999582407","0.2124564999582407"
"29498","0.21375494471865356","0.21375494471865356","0.21375494471865356"
"29762","0.20332224680866415","0.20332224680866415","0.20332224680866415"
"30021","0.20304230421735645","0.20304230421735645","0.20304230421735645"
"30283","0.20836668994414856","0.20836668994414856","0.20836668994414856"
"30538","0.21017734828908646","0.21017734828908646","0.21017734828908646"
"30803","0.20618177526033124","0.20618177526033124","0.20618177526033124"
"31067","0.20258584936643523","0.20258584936643523","0.20258584936643523"
"31326","0.20181956260754563","0.20181956260754563","0.20181956260754563"
"31591","0.20949460620517438","0.20949460620517438","0.20949460620517438"
"31853","0.21194934124388853","0.21194934124388853","0.21194934124388853"
"32113","0.1995303505110664","0.1995303505110664","0.1995303505110664"
"32375","0.1960344804492637","0.1960344804492637","0.1960344804492637"
"32634","0.18822731664902648","0.18822731664902648","0.18822731664902648"
"32895","0.19231278820576897","0.19231278820576897","0.19231278820576897"
"33159","0.19242733266549872","0.19242733266549872","0.19242733266549872"
"33422","0.19669876500297886","0.19669876500297886","0.19669876500297886"
"33687","0.19671140987583569","0.19671140987583569","0.19671140987583569"
"33946","0.18977105349914578","0.18977105349914578","0.18977105349914578"
"34208","0.1839595009156816","0.1839595009156816","0.1839595009156816"
"34466","0.1812427641281388","0.1812427641281388","0.1812427641281388"
"34732","0.1888016669778372","0.1888016669778372","0.1888016669778372"
"34990","0.17938642187901468","0.17938642187901468","0.17938642187901468"
"35253","0.1960628500477635","0.1960628500477635","0.1960628500477635"
"35516","0.18678171039849126","0.18678171039849126","0.18678171039849126"
"35775","0.17524253597591363","0.17524253597591363","0.17524253597591363"
"36034","0.184321525339734","0.184321525339734","0.184321525339734"
"36295","0.17647180086901537","0.17647180086901537","0.17647180086901537"
"36558","0.18729460719955585","0.18729460719955585","0.18729460719955585"
"36815","0.174385991312547","0.174385991312547","0.174385991312547"
"37076","0.17966061516440868","0.17966061516440868","0.17966061516440868"
"37340","0.18249969354063","0.18249969354063","0.18249969354063"
"37606","0.178177598515104","0.178177598515104","0.178177598515104"
"37867","0.172615246474718","0.172615246474718","0.172615246474718"
"38129","0.16521810340553134","0.16521810340553134","0.16521810340553134"
"38388","0.17068606131533148","0.17068606131533148","0.17068606131533148"
"38652","0.17014450066695838","0.17014450066695838","0.17014450066695838"
"38914","0.17255311386397806","0.17255311386397806","0.17255311386397806"
"39177","0.17135069375922543","0.17135069375922543","0.17135069375922543"
"39442","0.17109193861900243","0.17109193861900243","0.17109193861900243"
"39707","0.17355450902719088","0.17355450902719088","0.17355450902719088"
"39968","0.17262459070750372","0.17262459070750372","0.17262459070750372"
"40225","0.16445201062809503","0.16445201062809503","0.16445201062809503"
"40482","0.15805388819969196","0.15805388819969196","0.15805388819969196"
"40745","0.1818949416125671","0.1818949416125671","0.1818949416125671"
"41009","0.17110223447479822","0.17110223447479822","0.17110223447479822"
"41267","0.16088143626329282","0.16088143626329282","0.16088143626329282"
"41529","0.16260958241647325","0.16260958241647325","0.16260958241647325"
"41785","0.1553828739013083","0.1553828739013083","0.1553828739013083"
"42045","0.1624313193472269","0.1624313193472269","0.1624313193472269"
"42306","0.1605800879552231","0.1605800879552231","0.1605800879552231"
"42568","0.16358506058261485","0.16358506058261485","0.16358506058261485"
"42827","0.15218449984462593","0.15218449984462593","0.15218449984462593"
"43084","0.15468053709974533","0.15468053709974533","0.15468053709974533"
"43349","0.16078176695645416","0.16078176695645416","0.16078176695645416"
"43602","0.15638777736908568","0.15638777736908568","0.15638777736908568"
"43863","0.15675015178359084","0.15675015178359084","0.15675015178359084"
"44123","0.1586133953568964","0.1586133953568964","0.1586133953568964"
"44383","0.16081735314510853","0.16081735314510853","0.16081735314510853"
"44644","0.14731576476593186","0.14731576476593186","0.14731576476593186"
"44904","0.1543288113661223","0.1543288113661223","0.1543288113661223"
"45165","0.15057575457343442","0.15057575457343442","0.15057575457343442"
"45421","0.14568309649903347","0.14568309649903347","0.14568309649903347"
"45681","0.15331227407343898","0.15331227407343898","0.15331227407343898"
"45943","0.1575388329417544","0.1575388329417544","0.1575388329417544"
"46205","0.15052987045468522","0.15052987045468522","0.15052987045468522"
"46467","0.14644910052168764","0.14644910052168764","0.14644910052168764"
"46734","0.15127458337213645","0.15127458337213645","0.15127458337213645"
"46991","0.14617698888915243","0.14617698888915243","0.14617698888915243"
"47252","0.14309945596860452","0.14309945596860452","0.14309945596860452"
"47518","0.14464643577547803","0.14464643577547803","0.14464643577547803"
"47780","0.14689085888960818","0.14689085888960818","0.14689085888960818"
"48040","0.14831642165453812","0.14831642165453812","0.14831642165453812"
"48303","0.14871742110122024","0.14871742110122024","0.14871742110122024"
"48560","0.14460693330975505","0.14460693330975505","0.14460693330975505"
"48826","0.1517069864677172","0.1517069864677172","0.1517069864677172"
"49087","0.1456064650727113","0.1456064650727113","0.1456064650727113"
"49348","0.13989850813510257","0.13989850813510257","0.13989850813510257"
"49610","0.1407467645214081","0.1407467645214081","0.1407467645214081"
"49869","0.13577423157262689","0.13577423157262689","0.13577423157262689"
"50132","0.13806441115322818","0.13806441115322818","0.13806441115322818"
"50400","0.15223812229439654","0.15223812229439654","0.15223812229439654"
"50660","0.13562336817496792","0.13562336817496792","0.13562336817496792"
"50922","0.13858369343749627","0.13858369343749627","0.13858369343749627"
"51186","0.13987477301590925","0.13987477301590925","0.13987477301590925"
"51452","0.14715531843480711","0.14715531843480711","0.14715531843480711"
"51711","0.14269700968895516","0.14269700968895516","0.14269700968895516"
"51975","0.14284678711064427","0.14284678711064427","0.14284678711064427"
"52237","0.13456071389578028","0.13456071389578028","0.13456071389578028"
"52498","0.14458050394592","0.14458050394592","0.14458050394592"
"52762","0.13823049673759846","0.13823049673759846","0.13823049673759846"
"53021","0.13006616271523916","0.13006616271523916","0.13006616271523916"
"53281","0.13300815756273904","0.13300815756273904","0.13300815756273904"
"53545","0.13711928949706875","0.13711928949706875","0.13711928949706875"
"53806","0.12985819960217546","0.12985819960217546","0.12985819960217546"
"54069","0.12591299413326537","0.12591299413326537","0.12591299413326537"
"54331","0.1293445760780214","0.1293445760780214","0.1293445760780214"
"54590","0.12572607079572343","0.12572607079572343","0.12572607079572343"
