"Step","fine tune relabel+shuffle_0_1e-05 - average_loss","fine tune relabel+shuffle_0_1e-05 - average_loss__MIN","fine tune relabel+shuffle_0_1e-05 - average_loss__MAX"
"264","1.1480510200692893","1.1480510200692893","1.1480510200692893"
"519","1.032221887246878","1.032221887246878","1.032221887246878"
"772","0.9778433220479912","0.9778433220479912","0.9778433220479912"
"1040","1.0209807355544784","1.0209807355544784","1.0209807355544784"
"1302","0.9782867512814537","0.9782867512814537","0.9782867512814537"
"1567","1.0028003369323992","1.0028003369323992","1.0028003369323992"
"1818","0.9968804891522434","0.9968804891522434","0.9968804891522434"
"2068","0.9721360012771415","0.9721360012771415","0.9721360012771415"
"2338","1.086426825666462","1.086426825666462","1.086426825666462"
"2600","1.0837212092622563","1.0837212092622563","1.0837212092622563"
"2862","1.1217249670790301","1.1217249670790301","1.1217249670790301"
"3124","1.2103696363218597","1.2103696363218597","1.2103696363218597"
"3377","1.0163793056513424","1.0163793056513424","1.0163793056513424"
"3642","1.0052782779796001","1.0052782779796001","1.0052782779796001"
"3913","1.074267350720277","1.074267350720277","1.074267350720277"
"4155","1.033092859328288","1.033092859328288","1.033092859328288"
"4415","0.9853854602841984","0.9853854602841984","0.9853854602841984"
"4679","1.171588044091366","1.171588044091366","1.171588044091366"
"4930","1.1500178246256592","1.1500178246256592","1.1500178246256592"
"5193","0.9764192803580685","0.9764192803580685","0.9764192803580685"
"5455","1.114762087659983","1.114762087659983","1.114762087659983"
"5728","1.1469931391514725","1.1469931391514725","1.1469931391514725"
"5989","0.9716096521888818","0.9716096521888818","0.9716096521888818"
"6251","1.1855550542782738","1.1855550542782738","1.1855550542782738"
"6501","1.0029723202641734","1.0029723202641734","1.0029723202641734"
"6760","1.1675752320892188","1.1675752320892188","1.1675752320892188"
"7026","1.087121040891698","1.087121040891698","1.087121040891698"
"7292","1.1874344675355075","1.1874344675355075","1.1874344675355075"
"7547","1.1490896614715183","1.1490896614715183","1.1490896614715183"
"7808","1.0558460969822827","1.0558460969822827","1.0558460969822827"
"8067","1.03985038297398","1.03985038297398","1.03985038297398"
"8331","1.0508814651588048","1.0508814651588048","1.0508814651588048"
"8586","1.0205535181450411","1.0205535181450411","1.0205535181450411"
"8853","1.0162226652114543","1.0162226652114543","1.0162226652114543"
"9111","0.9248034736604753","0.9248034736604753","0.9248034736604753"
"9368","1.0084153553264008","1.0084153553264008","1.0084153553264008"
"9633","1.031379010377115","1.031379010377115","1.031379010377115"
"9891","1.0756006076217024","1.0756006076217024","1.0756006076217024"
"10143","1.0277826086420454","1.0277826086420454","1.0277826086420454"
"10409","1.0774048679577861","1.0774048679577861","1.0774048679577861"
"10674","0.9930075429849803","0.9930075429849803","0.9930075429849803"
"10931","1.038730060079284","1.038730060079284","1.038730060079284"
"11198","1.1021857165547995","1.1021857165547995","1.1021857165547995"
"11458","0.9799576721194205","0.9799576721194205","0.9799576721194205"
"11700","0.9383469656937652","0.9383469656937652","0.9383469656937652"
"11944","1.0605996146022032","1.0605996146022032","1.0605996146022032"
"12213","1.0703564772196976","1.0703564772196976","1.0703564772196976"
"12460","1.0557736668819457","1.0557736668819457","1.0557736668819457"
"12728","1.1800922115987742","1.1800922115987742","1.1800922115987742"
"12992","1.191661760496274","1.191661760496274","1.191661760496274"
"13257","1.0380876468924394","1.0380876468924394","1.0380876468924394"
"13519","1.1925645148664208","1.1925645148664208","1.1925645148664208"
"13772","0.9710925643565731","0.9710925643565731","0.9710925643565731"
"14031","0.9916906153224397","0.9916906153224397","0.9916906153224397"
"14295","1.1723657141957018","1.1723657141957018","1.1723657141957018"
"14550","0.9581517774158177","0.9581517774158177","0.9581517774158177"
"14813","0.9223478607557438","0.9223478607557438","0.9223478607557438"
"15068","1.1082659209147097","1.1082659209147097","1.1082659209147097"
"15327","1.1879509742650103","1.1879509742650103","1.1879509742650103"
"15592","0.9812128502685853","0.9812128502685853","0.9812128502685853"
"15852","1.0185701587982823","1.0185701587982823","1.0185701587982823"
"16118","1.126656460066821","1.126656460066821","1.126656460066821"
"16377","0.9182813648344936","0.9182813648344936","0.9182813648344936"
"16640","0.9064136510153098","0.9064136510153098","0.9064136510153098"
"16898","0.9902131020551942","0.9902131020551942","0.9902131020551942"
"17156","1.1031068799593278","1.1031068799593278","1.1031068799593278"
"17416","1.0075761509777434","1.0075761509777434","1.0075761509777434"
"17677","1.1329705362038542","1.1329705362038542","1.1329705362038542"
"17939","1.0986525387541008","1.0986525387541008","1.0986525387541008"
"18209","1.07099684733184","1.07099684733184","1.07099684733184"
"18464","1.0667861644889545","1.0667861644889545","1.0667861644889545"
"18710","1.0202143383871054","1.0202143383871054","1.0202143383871054"
"18969","1.0549436976491344","1.0549436976491344","1.0549436976491344"
"19238","1.241838518331362","1.241838518331362","1.241838518331362"
"19494","1.107853177969251","1.107853177969251","1.107853177969251"
"19747","0.9353650836654867","0.9353650836654867","0.9353650836654867"
"20012","1.0450295321362728","1.0450295321362728","1.0450295321362728"
"20283","1.1050729758569542","1.1050729758569542","1.1050729758569542"
"20545","1.0870918286771731","1.0870918286771731","1.0870918286771731"
"20806","1.023647965052306","1.023647965052306","1.023647965052306"
"21075","1.0918248731168272","1.0918248731168272","1.0918248731168272"
"21341","1.1623195408290452","1.1623195408290452","1.1623195408290452"
"21608","1.0996111495044152","1.0996111495044152","1.0996111495044152"
"21872","0.9746301753313673","0.9746301753313673","0.9746301753313673"
"22144","1.1114692374569024","1.1114692374569024","1.1114692374569024"
"22416","1.073996511742007","1.073996511742007","1.073996511742007"
"22687","1.0632953070846431","1.0632953070846431","1.0632953070846431"
"22947","1.06241453428572","1.06241453428572","1.06241453428572"
"23212","1.2042346855428168","1.2042346855428168","1.2042346855428168"
"23479","1.0694833191664053","1.0694833191664053","1.0694833191664053"
"23748","1.0719733552532995","1.0719733552532995","1.0719733552532995"
"24013","1.140162726429717","1.140162726429717","1.140162726429717"
"24288","0.9710072927945949","0.9710072927945949","0.9710072927945949"
"24552","0.9702346061804781","0.9702346061804781","0.9702346061804781"
"24815","0.9569567576628322","0.9569567576628322","0.9569567576628322"
"25082","1.0390094718349348","1.0390094718349348","1.0390094718349348"
"25336","0.9468477932537456","0.9468477932537456","0.9468477932537456"
"25595","0.9260580142327616","0.9260580142327616","0.9260580142327616"
"25853","1.126323040699427","1.126323040699427","1.126323040699427"
"26096","1.0678248060347866","1.0678248060347866","1.0678248060347866"
"26360","1.0443913483277802","1.0443913483277802","1.0443913483277802"
"26625","0.9889935046140335","0.9889935046140335","0.9889935046140335"
"26895","1.018624577666015","1.018624577666015","1.018624577666015"
"27154","1.1166795247571046","1.1166795247571046","1.1166795247571046"
"27425","1.08754836143769","1.08754836143769","1.08754836143769"
"27688","1.101186491772395","1.101186491772395","1.101186491772395"
"27947","1.0502960624730016","1.0502960624730016","1.0502960624730016"
